prompt,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview
"What is true for a type-Ia (""type one-a"") supernova?
A. This type occurs in binary systems.
B. This type occurs in young galaxies.
C. This type produces gamma-ray bursts.
D. This type produces high amounts of X-rays.
Answer:",True,True
"If you know both the actual brightness of an object and its apparent brightness from your location then with no other information you can estimate:
A. Its speed relative to you
B. Its composition
C. Its size
D. Its distance from you
Answer:",True,True
"Why is the sky blue?
A. Because the molecules that compose the Earth's atmosphere have a blue-ish color.
B. Because the sky reflects the color of the Earth's oceans.
C. Because the atmosphere preferentially scatters short wavelengths.
D. Because the Earth's atmosphere preferentially absorbs all other colors.
Answer:",True,True
"You’ve made a scientific theory that there is an attractive force between all objects. When will your theory be proven to be correct?
A. The first time you drop a bowling ball and it falls to the ground proving your hypothesis.
B. After you’ve repeated your experiment many times.
C. You can never prove your theory to be correct only “yet to be proven wrong”.
D. When you and many others have tested the hypothesis.
Answer:",True,True
"Which of the following is/are true?
A. Titan is the only outer solar system moon with a thick atmosphere
B. Titan is the only outer solar system moon with evidence for recent geologic activity
C. Titan's atmosphere is composed mostly of hydrocarbons
D. A and D
Answer:",True,False
"A comet of mass m impacts the earth (mass M radius R) at the minimum impact speed. What is the expression for the total energy released in the impact?
A. m*v
B. 0.5*m/(R^3)
C. 0.5*m*(2GM/R)
D. 0.6*G(M^2)/R
Answer:",True,True
"Some of Mars'water is frozen in the soil and the ice caps and some was lost due to solar wind stripping but much of the original water is thought to have been lost through another mechanism. What happened to this ""lost""water?
A. it was stripped away by the magnetic field when it rapidly decreased in strength
B. it was broken into hydrogen and oxygen by ultraviolet light and the hydrogen was lost through thermal escape
C. it was consumed by a civilization of thirsty Martians
D. it was vaporized during a period of intense volcanism and was lost to space through thermal escape
Answer:",True,True
"Most rocks on the Moon's surface are older than those on the Earth's surface. The best evidence for this is:
A. Lunar rocks are composed of fragments pulverized by many impacts.
B. Radioactive dating of lunar samples shows that they are older.
C. The Moon's surface is more heavily eroded than the Earth's surface.
D. The Moon's surface has more impact craters than the Earth's surface.
Answer:",True,True
"What is the second most common element in the solar system?
A. Iron
B. Hydrogen
C. Methane
D. Helium
Answer:",False,True
"What is the source of the material that causes meteor showers?
A. Near-Earth asteroids gradually disintegrate and spread out along their orbital path. When the Earth passes through the orbit of an asteroid we are bombarded by sand-sized particles which cause a meteor shower.
B. Near-Earth asteroids disintegrate as they enter Earth's atmosphere creating hundreds of bright meteors that appear to radiate from a single location in the sky.
C. The nuclei of comets disintigrate as they enter Earth's atmosphere creating hundreds of bright meteors that appear to radiate from a central location in the sky.
D. The nuclei of comets gradually disintegrate and spread out along the comet's orbital path. When the Earth passes through the orbit of a comet we are bombarded by sand-sized particles which cause a meteor shower.
Answer:",True,True
"Why does the plasma (ion) tail of a comet always point away from the Sun?
A. Radiation pressure from the Sun's light pushes the ions away.
B. The conservation of the angular momentum in the tail keeps it always pointing away from the Sun.
C. The ions are following Keplerian orbits that lead away from the Sun.
D. The solar wind electromagnetically ""blows"" the ions directly away from the Sun.
Answer:",True,True
"How did Eratosthenes estimate the size of Earth in 240 B.C.?
A. By observing the duration of a solar eclipse.
B. By measuring the size of Earth's shadow on the Moon in a lunar eclipse.
C. By comparing the maximum altitude of the Sun in two cities at different latitudes at the same time on the same day.
D. By sending fleets of ships around Earth.
Answer:",True,True
"The Large Magellanic Cloud is ...
A. a dwarf galaxy orbiting the Milky Way.
B. the closest planetary nebula to the Earth.
C. a bright star cluster discovered by Magellan.
D. the outer arm of the Milky Way named after Magellan.
Answer:",True,True
