prompt,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview
"What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)?
A. 18 gauge.
B. 20 gauge.
C. 22 gauge.
D. 24 gauge.
Answer:",True,True
"The key attribute in successful marathon running is:
A. strength.
B. power.
C. stride length.
D. stamina.
Answer:",True,True
"Which of the following is the commonest cause of dementia in the UK?
A. Alzheimer's disease.
B. Cerebrovascular (stroke) disease.
C. Lewy body dementia.
D. HIV infection.
Answer:",True,True
"Which of the following is NOT a symptom of anaphylaxis?
A. Stridor.
B. Bradycardia.
C. Severe wheeze.
D. Rash.
Answer:",True,True
"In what situation are closed pouches applied?
A. The patient has a semi-formed or liquid output.
B. The patient has a colostomy.
C. In the immediate post-operative period.
D. The patient has a urostomy.
Answer:",False,True
"With an increasing number of sprints the:
A. anaerobic contribution progressively increases.
B. pH of the muscle falls below 6.0.
C. blood glucose concentration falls below 3 mmol/L.
D. relative contribution of aerobic metabolism increases.
Answer:",False,False
"Which of the following is true in diplopia?
A. Diplopia can never occur if one eye is covered
B. The outer image is always the false image
C. A fourth nerve palsy occurs when the patient looks upwards
D. A sixth nerve palsy causes a divergent squint
Answer:",False,False
"Sodium bicarbonate ingestion improves middle distance running performance by:
A. elevating the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.
B. reducing the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.
C. elevating the pH and buffering capacity of the extracellular fluid allowing a faster influx of hydrogen ions into muscle.
D. elevating the pre-exercise muscle pH.
Answer:",True,True
"Codons are composed of:
A. triplet sequences of nucleotide bases in mRNA or DNA .
B. quadruplet sequences of nucleotide bases in mRNA or DNA.
C. triplet sequences of amino acids in polypeptide chains.
D. triplet sequences of deoxyribose sugars in DNA.
Answer:",True,True
"Fatty acids are transported into the mitochondria bound to:
A. thiokinase.
B. coenzyme A (CoA).
C. acetyl-CoA.
D. carnitine.
Answer:",True,True
"Which of the answers below best indicates the compatible blood types that can be given to a person with a blood group B (rhesus negative)?
A. Blood type AB (rhesus negative), blood type B, and blood type O (rhesus negative).
B. Blood type B (rhesus positive) and blood type O (rhesus positive).
C. Blood type B (rhesus negative) and blood type O (rhesus negative).
D. Blood type B (rhesus negative) only.
Answer:",True,True
"Which of the following is true of a lower motor neurone lesion in the arm?
A. It leads to increased tone in the arm (hypertonia)
B. Fasciculations are never seen
C. The reflexes are brisk
D. An ulna nerve palsy is an example of a lower motor neurone lesion
Answer:",False,True
"Which of the following statements is false?
A. Ammonia is produced in repeated high intensity exercise.
B. Muscle lactate accumulation does not begin until at least 5 seconds of intermittent muscle contractions have taken place.
C. Muscle phosphocreatine depletion begins in the first few seconds of high intensity exercise.
D. With an increasing number of repeated sprints the rate of accumulation of lactate in muscle declines.
Answer:",True,False
