prompt,mixtral-8x7b-instruct-v0.1,gpt-4-1106-preview
"Let k be the number of real solutions of the equation e^x + x - 2 = 0 in the interval [0, 1], and let n be the number of real solutions that are not in [0, 1]. Which of the following is true?
A. k = 0 and n = 1
B. k = 1 and n = 0
C. k = n = 1
D. k > 1
Answer:",True,True
"Up to isomorphism, how many additive abelian groups G of order 16 have the property that x + x + x + x = 0 for each x in G ?
A. 0
B. 1
C. 2
D. 3
Answer:",False,False
"Suppose P is the set of polynomials with coefficients in Z_5 and degree less than or equal to 7. If the operator D sends p(x) in P to its derivative p′(x), what are the dimensions of the null space n and range r of D?
A. n = 1 and r = 6
B. n = 1 and r = 7
C. n = 2 and r = 5
D. n = 2 and r = 6
Answer:",False,False
"The shortest distance from the curve xy = 8 to the origin is
A. 4
B. 8
C. 16
D. 2sqrt(2)
Answer:",True,False
"There are 25 suitcases, 5 of which are damaged. Three suitcases are selected at random. What is the probability that exactly 2 are damaged?
A. 2/69
B. 1/30
C. 2/23
D. 12/125
Answer:",True,False
"Let (Z_{10} , +, x) be the ring of integers modulo 10, and let S be the subset of Z_{10} represented by {0, 2, 4, 6, 8}. Which of the following statements is FALSE?
A. (S, +, x) is closed under addition modulo 10.
B. (S, +, x) is closed under multiplication modulo 10.
C. (S, +, x) has an identity under addition modulo 10.
D. (S, +, x) has no identity under multiplication modulo 10.
Answer:",True,True
"A ladder 9 meters in length is leaning against a vertical wall on level ground. As the bottom end of the ladder is moved away from the wall at a constant rate of 2 meters per second, the top end slides downward along the wall. How fast, in meters per second, will the top end of the ladder be sliding downward at the moment the top end is 3 meters above the ground?
A. 12*sqrt(2)
B. 6*sqrt(2)
C. 4*sqrt(2)
D. 1/(2*sqrt(2))
Answer:",False,False
"Consider a segment of length 10. Points A and B are chosen randomly such that A and B divide the segment into three smaller segments. What is the probability that the three smaller segments could form the sides of a triangle?
A. 0
B. 10%
C. 25%
D. 50%
Answer:",True,True
"Let V be a finite-dimensional real vector space and let P be a linear transformation of V such that P^2 = P. Which of the following must be true?
I. P is invertible.
II. P is diagonalizable.
III. P is either the identity transformation or the zero transformation.
A. nan
B. I only
C. II only
D. III only
Answer:",False,True
"Which of the following is true?
A. Every compact space is complete
B. Every complete space is compact
C. Neither (a) nor (b).
D.  Both (a) and (b).
Answer:",False,False
"A discrete graph is complete if there is an edge connecting any pair of vertices. How many edges does a complete graph with 10 vertices have?
A. 10
B. 20
C. 25
D. 45
Answer:",True,True
"Suppose X is a discrete random variable on the set of positive integers such that for each positive integer n, the probability that X = n is 1/2^n. If Y is a random variable with the same probability distribution and X and Y are independent, what is the probability that the value of at least one of the variables X and Y is greater than 3 ?
A. 1/64
B. 15/64
C. 1/4
D. 3/8
Answer:",False,False
"Let V and W be 4-dimensional subspaces of a 7-dimensional vector space X. Which of the following CANNOT be the dimension of the subspace V intersect W?
A. 0
B. 1
C. 2
D. 3
Answer:",False,False
"A large class is to be divided into teams and each student must be a member of exactly one team. However, each student dislikes three of their classmates. Dislike between students need not be mutual. If the teams do not need to be equally sized, how many must be created so that no student is the teammate of someone they dislike?
A. 4
B. 7
C. 10
D. 13
Answer:",False,False
"Sofia and Tess will each randomly choose one of the 10 integers from 1 to 10. What is the probability that neither integer chosen will be the square of the other?
A. 0.64
B. 0.72
C. 0.81
D. 0.95
Answer:",False,False
"Let K be a nonempty subset of R^n, where n > 1. Which of the following statements must be true?
I. If K is compact, then every continuous real-valued function defined on K is bounded.
II. If every continuous real-valued function defined on K is bounded, then K is compact.
III. If K is compact, then K is connected.
A. I only
B. II only
C. III only
D. I and II only
Answer:",False,False
"Suppose V is a real vector space of finite dimension n. Call the set of matrices from V into itself M(V). Let T be in M(V). Consider the two subspaces U = {X ∈ M(V) : TX = XT} and W = {TX − XT : X ∈ M(V)}. Which of the following must be TRUE?
I. If V has a basis containing only eigenvectors of T then U = M(V).
II. dim (U) + dim (W) = n^2
III. dim (U) < n
A. I only
B. II only
C. III only
D. I and II only
Answer:",False,False
"Let F be a constant unit force that is parallel to the vector (-1, 0, 1) in xyz-space. What is the work done by F on a particle that moves along the path given by (t, t^2, t^3) between time t=0 and time t=1?
A. -1/4
B. -1/(4sqrt(2))
C. 0
D. sqrt(2)
Answer:",True,False
"Let X be a topological space, and let A, B, and C be nonempty subsets of X such that A c B c C; that is, A is a proper subset of B, and B is a proper subset of C. Which of the following statements is (are) true?
I. If A and C are connected, then B is connected.
II. If A and C are compact, then B is compact.
III. If A and C are Hausdorff, then B is Hausdorff.
A. I and II only
B. III only
C. I and III only
D. I, II, and III
Answer:",False,False
