prompt,mixtral-8x7b-instruct-v0.1,gpt-4-1106-preview
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about
A. 7 N
B. 5 N
C. 10 N
D. 12 N
Answer:",True,True
"A completely submerged object always displaces its own
A. weight of fluid.
B. volume of fluid.
C. density of fluid.
D. All of these.
Answer:",True,True
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light
A. totally internally reflects
B. passes into the air above
C. is absorbed
D. None of these
Answer:",False,True
"According to four-dimensional geometry, the angles of a triangle add to 180°
A. always.
B. sometimes.
C. never.
D. on planet Earth only.
Answer:",False,True
"A voltage will be induced in a wire loop when the magnetic field within that loop
A. changes
B. aligns with the electric field
C. is at right angles to the electric field
D. converts to magnetic energy
Answer:",True,True
"Among these colors, the one that has the most energy per photon is
A. red
B. yellow-green
C. blue
D. violet
Answer:",True,True
"According to general relativity,
A. mass distorts spacetime.
B. gravity affects clocks.
C. light can’t escape from a black hole.
D. All of these.
Answer:",True,True
"A step-up transformer in an electric circuit can step up
A. voltage
B. energy
C. Both of these
D. Neither of these
Answer:",True,True
"Spectral lines of the elements are
A. chaotic
B. ordered
C. positioned by amplitude
D. in phase
Answer:",True,True
"A wave transfers
A. amplitude
B. wavelength
C. frequency
D. energy
Answer:",True,True
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore
A. the same
B. opposite
C. Either of these
D. Need more information
Answer:",False,False
"The surface of planet Earth loses energy to outer space due mostly to
A. conduction
B. convection
C. radiation
D. radioactivity
Answer:",True,True
"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is
A. half, 1 A
B. 2 A
C. Depends on which lamp is closer to the battery
D. Not enough information to say
Answer:",False,True
"As a blinking light source approaching you gains speed, you see the frequency of flashes
A. increase.
B. decrease.
C. remain unchanged.
D. None of these.
Answer:",True,True
"In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is
A. 2mg
B. mg
C. mg/2
D. mg/4
Answer:",False,True
