prompt,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview
"What is the value of p in 24 = 2p?
A. p = 4
B. p = 8
C. p = 12
D. p = 24
Answer:",False,True
"Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?
A. 5
B. 7
C. 8
D. 9
Answer:",True,True
"Find the quotient of −40 ÷ (−8).
A. 1 over 5
B. −5
C. −1 over 5
D. 5
Answer:",True,True
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?
A. 4
B. 5
C. 6
D. 7
Answer:",True,False
"You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.
A. 4t = 112; $448
B. 4t = 112; $28
C. t over 4 = 112; $448
D. t over 4 = 112; $28
Answer:",True,True
"Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?
A. 9
B. 11
C. 26
D. 32
Answer:",False,False
"Write 1 and 1 over 11 as a whole or mixed number in simplest form.
A. 1.1 over 11
B. 11 over 11
C. 12 over 11
D. 11 over 12
Answer:",False,True
"Find the quotient of 2.16 ÷ 0.06.
A. 3.6
B. 36
C. 0.01272
D. 12.72
Answer:",False,True
"Find the difference of 142.76 – 16.5.
A. 159.26
B. 2.224
C. 14,111
D. 126.26
Answer:",True,True
"Find the quotient of 5.04/0.7
A. 0.72
B. 0.702
C. 10.0571
D. 7.2
Answer:",False,False
"Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?
A. 150 + 400 + 200
B. 200 + 400 + 200
C. 200 + 450 + 200
D. 200 + 500 + 200
Answer:",True,True
"What is the remainder of 21 divided by 7?
A. 21
B. 7
C. 1
D. None of these
Answer:",False,True
"Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?
A. 8
B. 9
C. 49
D. 63
Answer:",True,True
"Find the number that makes the statement 48 over 88 = ? over 11 true.
A. 6
B. 11
C. 8
D. 5
Answer:",True,False
"Which is the best buy?
A. 10 bars of soap for $23.20
B. 16 bars of soap for $36.48
C. 13 bars of soap for $29.51
D. 12 bars of soap for $27.60
Answer:",False,False
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?
A. 5 minutes
B. 14 minutes
C. 34 minutes
D. 70 minutes
Answer:",False,False
"Find the median in the set of data 23, 13, 18, 29, 32, 25.
A. 18
B. 24
C. 25
D. 29
Answer:",False,False
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?
A. (60/6)—12=a
B. (60—12)/6=a
C. (60-6)-12=a
D. (60+12)/6=a
Answer:",True,True
"A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?
A. 5
B. 25
C. 50
D. 125
Answer:",True,True
"Simplify (2 + 5)^2 − 42.
A. 7
B. 16
C. 30
D. 33
Answer:",True,False
"Find the value of 4 ÷ 2 • 2 + 8 − 4.
A. −12
B. 12
C. 8
D. 16
Answer:",False,False
"A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?
A. 382
B. 397
C. 406
D. 447
Answer:",False,True
"−4 +  ( −3 )=
A. −7
B. −1
C. 1
D. 7
Answer:",True,True
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?
A. 53
B. 63
C. 73
D. 83
Answer:",True,True
"Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.
A. 11.1
B. 5.7
C. 3.7
D. 22.68
Answer:",False,True
"Find the number that makes the statement true: 0.32 g = _ cg.
A. 32
B. 3.2
C. 3,200
D. 320
Answer:",False,False
"Find the product of 5.7(8) mentally using the Distributive Property.
A. 46.4
B. 456
C. 4.56
D. 45.6
Answer:",True,False
"What is the quotient for the expression 2,314 / 4?
A. 508
B. 508 r2
C. 578
D. 578 r2
Answer:",False,False
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?
A. 100 — 5d
B. 5d+ 100
C. 100 / 5d
D. 5d
Answer:",True,True
"Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.
A. 4t
B. t over 4
C. t − 4
D. t + 4
Answer:",True,True
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?
A. 681,452
B. 462,017
C. 246,412
D. 125,655
Answer:",False,False
"What is 123 / 8?
A. 15 remainder 7
B. 15 remainder 3
C. 16 remainder 5
D. 16 remainder 1
Answer:",False,False
"Write 8 and 2 over 4 as an improper fraction in simplest form.
A. 17 over 2
B. 34 over 4
C. 17 over 4
D. 19 over 2
Answer:",True,False
"What expression can be used to show 270,240 written in expanded form?
A. 200,000 + 7,000 + 200 + 4
B. 200,000 + 7,000 + 200 + 40
C. 200,000 + 70,000 + 200 + 40
D. 200,000 + 70,000 + 2,000 + 40
Answer:",False,False
