prompt,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview
"In a population of giraffes, an environmental change occurs that favors individuals that are tallest. As a result, more of the taller individuals are able to obtain nutrients and survive to pass along their genetic information. This is an example of
A. directional selection.
B. stabilizing selection.
C. sexual selection.
D. disruptive selection.
Answer:",True,True
"Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect?
A. a deletion of a single nucleotide
B. a deletion of a nucleotide triplet
C. a single nucleotide substitution of the nucleotide occupying the first codon position
D. a single nucleotide substitution of the nucleotide occupying the third codon position
Answer:",False,True
"The energy given up by electrons as they move through the electron transport chain is used to
A. break down glucose
B. make glucose
C. produce ATP
D. make NADH
Answer:",True,True
"During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT
A. oxygen
B. hydrogen
C. ammonia
D. methane
Answer:",True,True
"Convergent evolution is best exemplified by which of the following?
A. The pectoral fins of fish and the front legs of cats
B. The presence of a notochord in all chordate embryos
C. The wings of an insect and the wings of a bird
D. The leaves of an oak tree and the spines of a cactus
Answer:",True,True
"Which of the following would most likely provide examples of mitotic cell divisions?
A. cross section of muscle tissue
B. cross section of an anther (site of pollen production in a flower)
C. longitudinal section of a shoot tip
D. cross section of a leaf
Answer:",False,True
"Invertebrate immune systems possess which of the following?
A. Cytotoxic T-lymphocytes
B. Phagocytes
C. B-cells
D. Helper T-cells
Answer:",True,True
"Two unrelated species evolve in a way that makes them more similar.
A. Divergent evolution
B. Convergent evolution
C. Parallel evolution
D. Coevolution
Answer:",True,True
"Which of the following is the most likely benefit of periodic natural wildfires in some forest ecosystems?
A. The fires remove dead and decaying plant matter, reducing the risk of more intense and destructive fires.
B. The fires leach nutrients from the soil‚ preventing the germination of plants that might compete with native species.
C. The fires drive off herbivores whose plant-based diets reduce the amount of vegetation.
D. The fires dry out the soil and decrease the chance of flooding after heavy rains.
Answer:",True,True
"In a hypothetical environment, fishes called pike-cichlids are visual predators of algae-eating fish (i.e., they locate their prey by sight). If a population of algae-eaters experiences predation pressure from pike-cichlids, which of the following should least likely be observed in the algae-eater population over the course of many generations?
A. Selection for drab coloration of the algae-eaters
B. Selection for nocturnal algae-eaters (active only at night)
C. Selection for larger female algae-eaters, bearing broods composed of more, and larger, young
D. Selection for algae-eaters that become sexually mature at smaller overall body sizes
Answer:",True,True
"A man contracts the same flu strain for the second time in a single winter season. The second time he experiences fewer symptoms and recovers more quickly. Which cells are responsible for this rapid recovery?
A. Helper T cells
B. Cytotoxic T cells
C. Memory cells
D. Plasma cells
Answer:",True,True
"The same gene that causes various coat patterns in wild and domesticated cats also causes the cross-eyed condition in these cats, the cross-eyed condition being slightly maladaptive. In a hypothetical environment, the coat pattern that is associated with crossed eyes is highly adaptive, with the result that both the coat pattern and the cross-eyed condition increase in a feline population over time. Which statement is supported by these observations?
A. Evolution is progressive and tends toward a more perfect population.
B. Phenotype is often the result of compromise.
C. Natural selection reduces the frequency of maladaptive genes in populations over the course of time.
D. Polygenic inheritance is generally maladaptive, and should become less common in future generations.
Answer:",True,True
"Which of the following statements is correct?
A. Water flows from hypertonic to hypotonic.
B. Germinating seeds use less oxygen than do nongerminating seeds.
C. The rate of transpiration decreases with an increase in air movement.
D. Smaller DNA fragments migrate more rapidly than do larger DNA fragments on gel electrophoresis.
Answer:",True,True
"A gas phase is generally absent from which of the following biogeochemical cycles?
A. Water
B. Carbon
C. Sulfur
D. Phosphorus
Answer:",False,True
"Which of the following is a property that is shared by Zika fever‚ West Nile fever‚ and malaria?
A. The diseases are caused by viruses.
B. The diseases occur only in individuals who visit or live in tropical countries.
C. The pathogens that cause the diseases have developed resistance to antibiotics.
D. The pathogens that cause the diseases are primarily transmitted by the bite of an infected mosquito.
Answer:",True,True
"If the HMS Beagle had completely bypassed the Galapagos Islands, Darwin would have had a much poorer understanding of the
A. relative stability of a well-adapted population's numbers over many generations.
B. ability of populations to undergo modification as they adapt to a particular environment.
C. tendency of organisms to produce the exact number of offspring that the environment can support.
D. unlimited resources that support population growth in most natural environments.
Answer:",True,True
"Which of the following statements about lipids is correct?
A. Unsaturated fatty acids are linked to heart disease.
B. Lipids make up most cell surface receptors.
C. Phospholipids are water soluble.
D. Steroids are lipids that consist of glycerol and fatty acids.
Answer:",False,True
"All of the following are examples of connective tissue EXCEPT
A. ligaments
B. muscle
C. blood
D. cartilage
Answer:",True,True
"The light reactions of photosynthesis supply the Calvin cycle with which of the following?
A. The light reactions provide oxygen for the light-independent reactions.
B. ATP and NADPH provide the power and raw materials for the Calvin cycle.
C. Water entering the plant through the roots provides hydrogen directly to the Calvin cycle.
D. CO2 released by the light-dependent reactions provides the raw material for the Calvin cycle.
Answer:",True,True
