prompt,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview
"London dispersion forces are caused by
A. temporary dipoles created by the position of electrons around the nuclei in a molecule
B. the three-dimensional intermolecular bonding present in all covalent substances
C. the uneven electron-to-proton ratio found on individual atoms of a molecule
D. the electronegativity differences between the different atoms in a molecule
Answer:",True,True
"Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol.
A. 70 pm, 1402 kJ/mol
B. 86 pm, 898 kJ/mol
C. 135 pm, 523 kJ/mol
D. 40 pm, 995 kJ/mol
Answer:",False,False
"An unknown substance is found to have a high melting point. In addition, it is a poor conductor of electricity and does not dissolve in water. The substance most likely contains
A. ionic bonding
B. nonpolar covalent bonding
C. covalent network bonding
D. metallic bonding
Answer:",True,True
"The net ionic equation expected when solutions of NH4Br and AgNO3 are mixed together is
A. Ag+(aq) + Br-(aq) → AgBr(s)
B. NH4+(aq) + Ag+(aq) → Ag(NH4)3+2(aq)
C. Br-(aq) + NO3-(aq) → NO3Br(aq)
D. NH4Br(aq) + NO3-(aq) → NH4NO3(aq) + Br-(aq)
Answer:",True,True
"The symbol for antimony is
A. W
B. Sb
C. Fe
D. An
Answer:",True,True
"A sealed, rigid container contains three gases: 28.0 g of nitrogen, 40.0 g of argon, and 36.0 g of water vapor. If the total pressure exerted by the gases is 2.0 atm, what is the partial pressure of the nitrogen?
A. 0.33 atm
B. 0.40 atm
C. 0.50 atm
D. 2.0 atm
Answer:",False,False
"Monatomic ions of the representative elements are often
A. very soluble
B. very electronegative
C. isoelectronic with a noble gas
D. highly colored
Answer:",True,True
"Hund's rule requires that
A. no two electrons can have the same four quantum numbers
B. no two electrons with the same spin can occupy an orbital
C. no two electrons can occupy separate orbitals
D. no two electrons can pair up if there is an empty orbital at the same energy level available
Answer:",False,True
"All of the following ions have the same electron configuration except
A. Rb+
B. Se2-
C. As5+
D. Sr2+
Answer:",False,True
"Sulfurous acid is a weak acid, while sulfuric acid is a much stronger acid because
A. the O–H bonds in sulfuric acid are much weaker than in sulfurous acid due to the electron withdrawing of the oxygen atoms on sulfuric acid
B. sulfuric acid has more oxygen atoms in its formula
C. the sulfur in sulfuric acid is more electronegative than the sulfur in sulfurous acid
D. sulfuric acid has the hydrogen atoms bound directly to the sulfur atom
Answer:",False,True
"What is the molarity of a sodium hydroxide solution that requires 42.6 mL of 0.108 M HCl to neutralize 40.0 mL of the base?
A. 0.0641 M
B. 1.64 M
C. 0.115 M
D. 0.400 mol/L
Answer:",False,False
"Which of the following substances has an asymmetrical molecular structure?
A. SF4
B. PCl5
C. BF3
D. CO2
Answer:",True,True
"Hydrogen fluoride, HF, is a liquid at 15°C. All other hydrogen halides (represented by HX, where X is any other halogen) are gases at the same temperature. Why?
A. Fluorine has a very high electronegativity; therefore the H-F bond is stronger than any other H-X bond.
B. HF is smaller than any other H-X molecule; therefore it exhibits stronger London dispersion forces.
C. The dipoles in a HF molecule exhibit a particularly strong attraction force to the dipoles in other HF molecules.
D. The H-F bond is the most ionic in character compared to all other hydrogen halides.
Answer:",False,True
"The reaction of Br2(g) with Cl2(g) to form BrCl(g) has an equilibrium constant of 15.0 at a certain temperature. If 10.0 grams of BrCl is initially present in a 15.0-liter reaction vessel, what will the concentration of BrCl be at equilibrium?
A. 3.8 × 10^-3 mol/L
B. 5.77 × 10^-3 mol/L
C. 1.97 × 10^-3 M
D. 9.9 × 10^-4 M
Answer:",True,False
"A sample of liquid NH3 is brought to its boiling point. Which of the following occurs during the boiling process?
A. The N-H bonds within the NH3 molecules break apart.
B. The overall temperature of the solution rises as the NH3 molecules speed up.
C. The amount of energy within the system remains constant.
D. The hydrogen bonds holding separate NH3 molecules together break apart.
Answer:",False,True
"A student has a liter of a 0.100 M solution of a strong acid. To prepare a buffer, this should be mixed with
A. a strong acid
B. a weak acid
C. a weak base
D. a strong base
Answer:",True,True
"Which of the following indicates that a reaction is spontaneous?
A. at equilibrium there are more products than reactants
B. the value of ΔG° is greater than zero
C. the value of ΔS° is greater than zero
D. the value of Keq is less than one
Answer:",False,False
"Which of the following is expected to have the largest bond polarity?
A. S–O
B. P–F
C. C–B
D. C–N
Answer:",False,True
"A mechanism is a sequence of elementary reactions that add up to the overall reaction stoichiometry. A substance that is produced in one elementary reaction and consumed in another is called
A. a catalyst
B. an intermediate
C. a reactant
D. a complex
Answer:",True,True
"Approximately how many half-lives will it take to reduce 10.0 kg of a radioactive substance to 1.0 microgram of that substance?
A. 8
B. 13
C. 29
D. 34
Answer:",False,False
