prompt,mixtral-8x7b-instruct-v0.1,gpt-4-1106-preview
"Marginal revenue equals marginal cost at the point where
A. total revenue is greater than total cost at its greatest distance
B. total revenue is equal to total cost
C. marginal product is at its highest point
D. total product is at its highest point
Answer:",False,True
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do?
A. Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises.
B. Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls.
C. Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.
D. Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.
Answer:",False,False
"At a Nash equilibrium,
A. the supply curve intersects the demand curve
B. neither party has an incentive to deviate from his or her strategy
C. the marginal revenue curve intersects the marginal cost curve
D. the equilibrium is unstable and each party would like to switch strategies
Answer:",True,True
"You are told that the cross-price elasticity between goods X and Y is +2.0. This means that
A. goods X and Y are normal goods.
B. goods X and Y are inferior goods.
C. goods X and Y are complementary goods.
D. goods X and Y are substitute goods.
Answer:",True,True
"An externality
A. causes the equilibrium price to be artificially high
B. causes the equilibrium price to be artificially low
C. exists when markets cannot reach equilibrium
D. results in an equilibrium that does not maximize the total benefit to society
Answer:",True,True
"What is one reason why the government discourages collusion between large firms in the same industry?
A. Collusive output levels tend to increase, driving the price above competitive levels.
B. Consumer surplus falls as the price is driven downward.
C. Collusive output levels tend to decrease, driving the price down to competitive levels.
D. Joint profit maximization costs society consumer surplus as the price rises above competitive levels.
Answer:",True,True
"Which of the following illustrates the demand curve facing an oligopolist when rival firms follow a price decrease but not a price increase?
A. Perfectly horizontal demand curve.
B. Highly inelastic demand curve.
C. Highly elastic demand curve.
D. A demand curve consisting of two discontinuous segments.
Answer:",True,True
"Which of the following is not the basis for a wage differential?
A. Higher risk job.
B. Investment in human capital.
C. Increase in production of SUVs.
D. Racial discrimination.
Answer:",True,True
"Patents, control of resources, economies of scale, and exclusive licenses are
A. all requirements for price discrimination
B. required in order for a firm to earn short-run profits
C. all sources of elastic demand
D. all barriers to entry
Answer:",True,True
"The industry that makes plastic army figures uses a small fraction of the plastic demanded for all purposes. On this basis, we can conclude that the army-figures industry is most likely a(n)
A. increasing-cost industry
B. constant-cost industry
C. decreasing-cost industry
D. profit-making industry
Answer:",True,True
"Which of the following is most likely an example of production inputs that can be adjusted in the long run, but not in the short run?
A. Amount of wood used to make a desk.
B. Number of pickles put on a sandwich.
C. The size of a McDonald’s kitchen.
D. Number of teacher’s assistants in local high schools.
Answer:",True,True
"The apple market is in equilibrium. Suppose we observe that apple growers are using more pesticides to increase apple production. At the same time, we hear that the price of pears, a substitute for apples, is rising. Which of the following is a reasonable prediction for the new price and quantity of apples?
A. Price rises, but quantity is ambiguous.
B. Price falls, but quantity is ambiguous.
C. Price is ambiguous, but quantity rises.
D. Price is ambiguous, but quantity falls.
Answer:",True,True
"Which of the following is most likely to result in a shift to the right in the demand curve for orange juice?
A. A bumper crop of oranges in Florida
B. A decrease in the price of Tang
C. Expectations of lower future prices for orange juice
D. Expectations of higher future income among juice drinkers
Answer:",True,True
"Which of the following statements is accurate in regard to a perfectly competitive firm?
A. Demand is downward-sloping.
B. The demand curve lies above the marginal revenue curve.
C. Price is determined by the equilibrium in the entire market.
D. Average revenue differs from price.
Answer:",True,True
"Economists use the term ""capital"" to mean
A. money.
B. plant and equipment.
C. where the central government is located.
D. the center of the economy.
Answer:",True,True
"Ray and Dorothy can both cook and can both pull weeds in the garden on a Saturday afternoon. For every hour of cooking, Ray can pull 50 weeds and Dorothy can pull 100 weeds. Based on this information,
A. Ray pulls weeds, since he has absolute advantage in cooking.
B. Dorothy pulls weeds, since she has absolute advantage in cooking.
C. Dorothy cooks, since she has comparative advantage in cooking.
D. Ray cooks, since he has comparative advantage in cooking.
Answer:",True,True
"Your aunt runs a small firm from her home making apple pies. She hires some friends to help her. Which of the following situations would most likely increase her demand for labor?
A. The price of apple peelers/corers rises.
B. Your aunt’s friends gossip all day, slowing their dough-making process.
C. There is a sale on ovens.
D. A new study reveals that apples increase your risk of cancer.
Answer:",True,True
"Mrs. Johnson spends her entire daily budget on potato chips, at a price of $1 each, and onion dip at a price of $2 each. At her current consumption bundle, the marginal utility of chips is 12 and the marginal utility of dip is 30. Mrs. Johnson should
A. do nothing; she is consuming her utility maximizing combination of chips and dip.
B. increase her consumption of chips until the marginal utility of chip consumption equals 30.
C. decrease her consumption of chips until the marginal utility of chip consumption equals 30.
D. decrease her consumption of chips and increase her consumption of dip until the marginal utility per dollar is equal for both goods.
Answer:",True,True
"In the absence of intervention, imperfect competition, externalities, public goods, and imperfect information all result in which of the following?
A. Demand curves that should be added vertically
B. Market failure
C. Prices that are too low
D. Quantities of output that are too high
Answer:",True,True
"Marginal cost (MC) is equal to average variable cost (AVC) and average total cost (ATC) when:
A. marginal cost (MC) intersects AVC and ATC at their maximum points.
B. AVC and ATC intersect MC at its maximum point.
C. MC intersects AVC and ATC at their minimum points.
D. AVC and ATC intersect MC at its minimum point.
Answer:",False,True
"After Julia received a raise in her income, she began purchasing more ice cream cones and fewer popsicles. For Julia, popsicles
A. disobey the law of demand
B. are a joint product
C. are a complementary good with ice cream
D. are an inferior good
Answer:",True,True
