prompt,mixtral-8x7b-instruct-v0.1,gpt-4-1106-preview
"The study of older adults and aging is referred to as
A. Gerontology
B. Geropsychiatry
C. Geriatrics
D. Gero-education
Answer:",True,True
"Which of the following factors is associated with a decreased risk of Alzheimer's?
A. Being African or Hispanic American
B. Eating fish
C. A lower level of education
D. Being married
Answer:",True,True
"The docility hypothesis is that
A. Those with low capabilities are more vulnerable to environmental demands
B. Those who experience high environmental demands become more docile
C. Those who experience high environmental demands become less docile
D. Those with less capability are less vulnerable to environmental demands
Answer:",True,True
"Normal memory seems to be improved by
A. Aerobic exercise
B. Taking acetylcholine
C. Taking gingko
D. Increasing social contacts
Answer:",True,True
"The perspective that development is embedded in history means that
A. Change can always occur regardless of age
B. Sociocultural conditions must always be considered
C. Development in any particular areas (e.g., social) is tied to development in other areas (e.g., cognitive)
D. Some characteristics change with age while others do not
Answer:",True,True
"The answer ""both play an important role"" is clearly applicable to the question of
A. Nature vs. nurture
B. Mechanistic vs organismic
C. Continuity vs. discontinuity
D. All of these questions
Answer:",True,True
"Which of the following does NOT usually occur to the lens of the eye as one grows older?
A. It becomes thicker
B. It yellows
C. It becomes clouded
D. It fills with fluid
Answer:",True,True
"The houses of the future may allow you to operate virtually everything in the house from a central terminal; such a house is already in production and is referred to as
A. Technohouse
B. Compuhouse
C. Futurehouse
D. Smarthouse
Answer:",True,True
"The reaction time difference between younger and older adults is reduced when older adults
A. Practice regular aerobic exercise
B. Lift weights on a regular schedule
C. Consume large quantities of vitamins
D. Practice Tai chi
Answer:",True,True
"A major difference between programmed and unprogrammed theories of senescence is that programmed theories
A. Attribute senescence only to environmental factors
B. Are far too difficulty to test
C. Claim that senescence follows a predetermined plan
D. Rely too heavily on computer models
Answer:",True,True
"One reason that older adults show high levels of optimism is that
A. Many pessimists die at a younger age
B. They do not really know what is going on
C. This may be a warning sign for dementia
D. Our measures have low validity
Answer:",True,True
"Bu is often late for appointments but says it's because she had more important things on her mind. This is an example of which coping strategy?
A. Immunization
B. Accommodation
C. Avoidance
D. Assimilation
Answer:",False,False
"Which of the following is most strongly associated with loss of bone density?
A. Genetic factors
B. Lifestyle factors like not exercising
C. Hormonal factors such as loss of estrogen
D. Cohort factors
Answer:",False,False
"That super sweet iced tea that your grandmother gives you might be that way because she
A. Has lost a lot of sweet taste buds and cannot taste sweetness as well anymore
B. Is a member of that cohort that really enjoys sweets
C. Is trying to get you to be a little sweeter than you have been in the past
D. Has experienced damage in her parietal lobe where sweet sensations are directed
Answer:",True,True
"A shortage of these two vitamins can produce symptoms that mimic dementia:
A. A and C
B. B6 and B12
C. B6 and D
D. B12 and E
Answer:",True,True
"Which of the following is one of McAdam's levels of personality?
A. Control
B. Identity
C. Generativity
D. Assimilation
Answer:",False,False
"In this chapter's Senior View, Dr. Donham told us that mental stimulation, exercise, diet, and what other factor is important for long life?
A. Moderate amounts of alcohol
B. Social support
C. Good genes
D. Avoiding stress
Answer:",False,False
"Surveys of older adults who are living together show that they tend to view cohabitation as
A. A first step toward eventual marriage
B. An alternative to marriage
C. A way to save on expenses
D. Their swan song
Answer:",True,True
"Older adults may be more attached to a place than younger adults because
A. That place holds many memories
B. It's much harder to move when you're older
C. Young adults pay less attention to place then do older adults
D. That place represents transcendence
Answer:",True,True
"The Hayflick number for human cells is
A. Unknown
B. Between 45 and 55
C. Less than 30
D. More than 60
Answer:",True,True
"High levels of self-care behaviors have been associated with high levels of
A. Neuroticism
B. Extraversion
C. Agreeableness
D. Secondary control
Answer:",False,False
"Research has offered some longitudinal as well as cross sectional support for the theory put forth by
A. Peck
B. Foos
C. Levenson
D. Erikson
Answer:",True,True
"Which of the following is more likely to be a cohort, rather than an age, difference?
A. A higher proportion of older women have completed menopause
B. A smaller proportion of older women report dreams about sex
C. A higher proportion of older men are bald
D. A higher proportion of older men and women are victims of cancer
Answer:",False,True
"Fear of aging has been associated with high levels of
A. Introversion
B. Neuroticism
C. Rigidity
D. Mid-life crisis
Answer:",True,True
"In which dementia are cognitive symptoms less likely?
A. Parkinson's
B. Pick's
C. Huntington's
D. NeuroAIDS
Answer:",True,True
