prompt,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview
"Which of the following methods of detecting breast cancer involves exposure to radiation?
A. Needle aspiration
B. Mammography
C. Mastectomy
D. Lumpectomy
Answer:",True,True
"The regions of the body that, when touched, are sexually exciting:
A. vary from person to person
B. vary for women depending on the phases of the menstrual cycle
C. are mainly on the lower portion of the body
D. all of the above
Answer:",False,True
"Which of the following is/are true of gonorrhea?
A. can be treated with antibiotics
B. has a high risk of infection with a single exposure
C. is asymptomatic (without symptoms) in only a small percentage of those infected
D. infections are limited to genital areas
Answer:",True,True
"You are a homosexual male: Last night, you were tempted by lusty, swarthy Jacques (the king of fraternity row) to join him at the local dairy bar for a tall cool glass of milk. You also briefly considered studying for this test, but Jacques won out. In Freudian terms, which of the following was dominant?
A. the id
B. the ego
C. the superego
D. the Oedipus complex
Answer:",True,True
"Sociobiologists believe that there are more males than females with paraphilias because:
A. paraphilias guarantee survival of the species
B. evolutionary selection has favored the development of males who respond to novel sexual stimuli
C. of left brain/right brain differences between the genders
D. male brains are better developed than are female brains
Answer:",True,True
"According to a study by Sprecher, Barbee, and Schwartz (1995), women were more likely than men to have ________ following their first act of intercourse.
A. felt glad
B. felt fear
C. experienced guilt
D. experienced regret
Answer:",True,True
"What is cocaine abuse during pregnancy related to?
A. an increased risk of low birth weight babies
B. poorer growth and lower intelligence
C. smaller head circumference
D. all of the above
Answer:",True,True
"Joe wants desperately to get close to Helen. Helen appears to be put off by Joe's desperate advances. This is typical of Joe's relationships with women. According to attachment theory Joe would best be described as:
A. a secure lover
B. an avoidant lover
C. an anxious-ambivalent lover
D. a passionate lover
Answer:",True,True
"Bruce is a homosexual man. His friend Chuck is a heterosexual man. If we could have observed Bruce and Chuck as children we might have expected which of the following?
A. Bruce likely participated in more female-typical play than Chuck.
B. Bruce likely participated in more male-typical play than Chuck.
C. Bruce and Chuck likely participated in more male-typical play than female-typical play.
D. Bruce's father was more likely to have homosexual tendencies than Chuck's father.
Answer:",False,True
"Judaism regards sexuality as
A. inherently evil
B. God's afterthought and has become an aberration
C. a gift from God
D. primarily a biological function
Answer:",True,True
"Freud said that the penis first becomes the major focus of pleasure-seeking at:
A. birth
B. about age 1
C. between the ages of 3 and 6
D. puberty
Answer:",True,True
"What makes a relationships last, according to Sternberg?
A. intimacy
B. commitment
C. decision
D. passion
Answer:",True,True
"The position that abortion is murder is held by certain people in which religion?
A. Orthodox Jews
B. Fundamentalist Protestants
C. Eastern Orthodox Christians
D. all of the above
Answer:",True,True
"Orders of monks and nuns found both in Eastern religions and in Christianity who affirm celibacy, virginity, and poverty follow the ethical system of:
A. legalism
B. asceticism
C. situationism
D. hedonism
Answer:",True,True
"Ovaries and testes
A. are homologous
B. produce gametes
C. produce sex hormones
D. all of the above
Answer:",True,True
"Simon LeVay studied the brains of heterosexuals and homosexuals. He found differences in:
A. the cortical activity of these two groups
B. the overall brain weights of these two groups
C. the cell structure in the hypothalamus of these two groups
D. blood volume and metabolism of sugars in the brains of these two groups
Answer:",True,True
"Which of the following theories uses terms such as ""modelling"" and ""imitation"" to explain the effects of exposure to erotica on a person's behaviour?
A. sociobiology
B. psychoanalytic theory
C. script theory
D. social learning theory
Answer:",True,True
"________ men, on the average, begin engaging in sexual intercourse approximately two years later than ________ men do.
A. Mexican Americans and whites; African Americans
B. Mexican Americans; African Americans and whites
C. African Americans; whites and Latinos
D. Whites; African Americans and Latinos
Answer:",True,False
"In the scientific community, women's capacity for multiple orgasms was originally discovered by:
A. Kinsey
B. Freud
C. Masters and Johnson
D. Kaplan
Answer:",False,False
"Which of the following characteristics are generally consistent with date rape?
A. use of excessive force
B. premeditated
C. sexually motivated
D. involves use of a weapon
Answer:",True,False
"According to John Money, __________ refers to a person's private internal sense of maleness or femaleness.
A. Gender identity
B. Sexual nomenclature
C. Gender schema
D. Intrapsychic sexual orientation
Answer:",True,True
"The average male genital size is approximately
A. 4 inches
B. 5 inches
C. 7 inches
D. 1 foot
Answer:",True,True
"People who cannot reach orgasm without touching a woman's shoe would certainly be considered sexually abnormal or deviant by which of the following definitions?
A. psychological
B. sociological
C. statistical
D. b and c
Answer:",True,True
"If a woman or man repeatedly experiences pain during intercourse, she will probably want to have intercourse infrequently or not all. In this situation, __________ would likely classify the pain as a punishment.
A. Sigmund Freud
B. John Money
C. B. F. Skinner
D. Havelock Ellis
Answer:",True,True
"What seems to be the case when the folk saying ""opposites attract"" (i.e., dissimilar attitudes tend to cause liking) when it is considered in light of current research?
A. It does not seem to be true.
B. It seems to be true for heterosexuals but not for homosexuals.
C. It seems to be true for homosexuals but not for heterosexuals.
D. It seems to be true for women but not for men
Answer:",True,True
"The egg can be fertilized until about _______ after ovulation.
A. 6 hours
B. 24 hours
C. 72 hours
D. 1 week
Answer:",True,True
"After releasing an egg, the follicle, under stimulation of luteinizing hormone, turns into a a glandular mass of cells called the __________
A. corpus cavernosum
B. corpus luteum
C. corpus callosum
D. corpus glandula
Answer:",True,True
"How is endometriosis generally treated?
A. antiprosaglandin drugs
B. prostaglandin drugs
C. hormones
D. aspirin
Answer:",True,True
"Before the Masters and Johnson research, it was thought that vaginal lubrication was due to secretions of
A. Cowper's gland
B. Prostate gland
C. Bartholin glands
D. Adrenal gland
Answer:",True,True
"Buffy and Willow were discussing their sexual fantasies. Buffy revealed that she sometimes fantasizes about sex with other women even though she normally finds herself attracted to men. She also fantasizes about group sex. Which of the following statements can be inferred from Buffy's fantasies?
A. Buffy's fantasies suggest that she must be a latent homosexual or bisexual.
B. Buffy's fantasies are indicative of a paraphilia.
C. Buffy's fantasies indicate that she is not getting enough sex to keep her satisfied.
D. Buffy's fantasies are fairly typical and tell us little about her sexual tendencies.
Answer:",True,True
"The environment for sperm passage is most hospitable just at
A. preovulation
B. proliferation
C. ovulation
D. menstruation
Answer:",True,True
"Secretions of Cowper's gland fluid at the tip of the penis are first evident:
A. following orgasm
B. immediately before orgasm
C. prior to vasocongestion
D. during the plateau phase
Answer:",False,True
"Which of the following restrictions existed in at least one culture? No sex
A. for a period of time following childbirth
B. during menstruation
C. between parents and children
D. all of the above
Answer:",True,True
"Which of the following teenagers have the highest pregnancy rates?
A. U.S.
B. Canadian
C. Swedish
D. French
Answer:",True,True
