prompt,mixtral-8x7b-instruct-v0.1,gpt-4-1106-preview
"What is the term for a sub-optimal but acceptable outcome of negotiations between parties?
A. Bargaining
B. Satisficing
C. Accepting
D. Compromising
Answer:",True,True
"What is the term for the 'rule of thumb' type of bias in decision making?
A. Framing bias
B. Hindsight bias
C. Over-confidence bias
D. Heuristics
Answer:",True,True
"What is a normative perspective?
A. The way things are.
B. The way things are going to be.
C. The way things should be.
D. The way things were.
Answer:",True,True
"In the 'five forces model', what is the type of competitive activity that exists between organisations?
A. The potential for entry into the industry
B. The threat of substitute products
C. The power of customers
D. The level of rivalry
Answer:",True,True
"Which one of the following political leaders could not be termed a 'transformational' leader?
A. Margaret Thatcher
B. Mikhail Gorbachov
C. Nelson Mandela
D. Bill Clinton
Answer:",False,True
"What is a Gantt chart a type of?
A. Work flow design
B. Work schedule design
C. Work rate design
D. Work output design
Answer:",True,True
"Which one of the following is a feature of McGregor's Theory X?
A. Workers enjoy responsibility.
B. Workers view physical and mental effort as a natural part of work.
C. Workers like to show initiative.
D. Workers like to be directed.
Answer:",True,True
"What is the term for power derived from status or position in an organisation?
A. Referent
B. Expert
C. Reward
D. Legitimate
Answer:",True,True
"Which writer is most associated with bureaucratic structures?
A. Henry Fayol
B. Max Weber
C. Adam Smith
D. Mary Parker Follett
Answer:",True,True
"Who of the following is the industrial philanthropist?
A. Frederick Taylor
B. Seebohm Rowntree
C. Henry Ford
D. Max Weber
Answer:",False,True
"Individualism as a guiding moral philosophy was advocated by which economist?
A. John Kenneth Galbraith
B. John Maynard Keynes
C. Milton Friedman
D. Alfred Marshall
Answer:",True,True
"The Hawthorn Studies are most associated with which writer?
A. Mary Parker Follett
B. Elton Mayo
C. Lillian Gilbreth
D. Frederick Taylor
Answer:",True,True
"How can you describe the thinking and outlook of transformational leaders?
A. Strategic
B. Operational
C. Functional
D. Developmental
Answer:",False,True
"What are the key characteristics of transactional leaders?
A. Guiding, mentoring and motivating
B. Guiding, commanding and motivating
C. Guiding, demonstrating and motivating
D. Guiding, mentoring and demonstrating
Answer:",False,False
"What is not an assumption underpinning the rational decision making model?
A. Incomplete information
B. An agreed goal
C. A structured problem
D. High level of certainty regarding the environment
Answer:",True,True
"Which one of the following is not one of Drucker's five guiding principles of management?
A. Making people's strengths effective and their weaknesses irrelevant.
B. Enhancing the ability of people to contribute.
C. To operate the organisation's status system.
D. Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.
Answer:",True,True
"What is a paradigm?
A. A theoretical assumption
B. An illustration
C. A theoretical model
D. An example serving as a model
Answer:",False,True
"What one of the following is not a key management skill in planning?
A. Conceptual skills
B. Analytical skills
C. IT and computing skills
D. Communication skills
Answer:",True,True
"According to Belbin (1981) an extroverted and enthusiastic person fits with what role?
A. Co-ordinator
B. Shaper
C. Resource investigator
D. Implementer
Answer:",True,True
"Which is not a recognised form of business continuity planning?
A. Contingency planning
B. Scenario planning
C. Financial planning
D. Building planning
Answer:",True,True
"What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?
A. Opportunistic organisation
B. Enterprising organisation
C. International organisation
D. Agile organisation
Answer:",True,True
"Which of these is not part of the recognised challenges for modern managers?
A. Micro-managing the workforce
B. Managing communications
C. Managing change
D. Managing the learning organisation
Answer:",True,True
"To what does emotional intelligence refer?
A. How people view and understand the world.
B. How people view and understand themselves.
C. How people view and understand others.
D. How people view and understand themselves and others.
Answer:",True,True
"Of what is individual freedom to schedule work an example?
A. Job design
B. Job enrichment
C. Job rate
D. Job planning
Answer:",False,True
"What are workers primarily motivated by according to the instrumental approach?
A. Peer recognition
B. Promotion
C. Greater freedom
D. Economic reward
Answer:",True,True
"Which is not a characteristic of corporate social responsibility?
A. Product safety
B. Consumer rights
C. Environmental policies
D. Price-fixing
Answer:",True,True
"Who was a major protagonist of utilitarianism?
A. John Stuart Mill
B. Thomas Hobbes
C. Karl Marx
D. Adam Smith
Answer:",True,True
"As what is ensuring that one individual does not carry the burden of a whole work task referred to?
A. Work specialisation
B. Work design
C. Work schedule
D. Work shift
Answer:",False,True
"How do you describe a work group that comprises workers with demarcated tasks and distant line managers?
A. Dependent
B. Independent
C. Interdependent
D. Collaborative
Answer:",False,True
"Specialisation is a feature of which organisational structure?
A. Matrix
B. Divisional
C. Multi-divisional
D. Functional
Answer:",True,True
"Which one is not an element in the primary activities of a value chain?
A. Procurement
B. Inbound logistics
C. Outbound logistics
D. Service
Answer:",False,True
"What is the term for the act of getting individuals to behave in ways that are acceptable to a group?
A. Indoctrination
B. Brainwashing
C. Propaganda
D. Socialisation
Answer:",True,True
"When does an acquisition take place?
A. Two equal partners decide to work together.
B. Two equal partners share resources.
C. Two unequal partners join together.
D. Two unequal partners become one after a buyout.
Answer:",True,True
