prompt,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview
"This is a hierarchy of effects or sequential model used to explain how advertising works:
A. ADD.
B. AIDA.
C. PESTLE.
D. SWOT.
Answer:",True,True
" _____________is an important element in the communication process. It recognizes that successful communications are more likely to be achieved if the source and the receiver understand each other.
A. The realm of understanding.
B. Personal selling.
C. Noise.
D. Feedback.
Answer:",False,False
"In the history of marketing, when did the production period end?
A. In the late 1800s.
B. In the early 1900s.
C. In the 1920s.
D. After the end of the Second World War.
Answer:",False,False
"The extent to which a service envelops a product varies according to a number of factors. Which of the following is NOT one of the factors?
A. The level of tangibility associated with the type of product.
B. Performance-value.
C. Variations in supply and demand.
D. The way in which the service is delivered.
Answer:",False,True
"The owners of independent gasoline stations in a community meet secretly and agree to keep their prices high to protect their profitability. If their plan is discovered and they are charged with a crime, they could be
A. found guilty under the Sherman Antitrust Act and face prison time
B. found guilty under the Magnuson-Moss Warranty Act and face large fines
C. found guilty under the Adamson Act and face prison time and fines
D. found not guilty because retailers are allowed to set their own price levels
Answer:",True,True
" The term 'marketing mix' describes:
A. A composite analysis of all environmental factors inside and outside the firm.
B. A series of business decisions that aid in selling a product.
C. The relationship between a firm's marketing strengths and its business weaknesses.
D. A blending of four strategic elements to satisfy specific target markets.
Answer:",True,True
"__________ have the potential to control the type and flow of information to the organization and the members of the DMU.
A. Gatekeepers.
B. Buyers.
C. Users.
D. Initiators.
Answer:",True,True
" An imbalance between a consumer's actual and desired state in which recognition that a gap or problem needs resolving is called:
A. Motive development.
B. An attitude.
C. A self-concept.
D. Product evaluation.
Answer:",True,True
" Which of the following is not an element of the marketing mix?
A. Promotion.
B. Product.
C. Target market.
D. Pricing.
Answer:",True,True
" Providing free samples of perfumes (scent) in magazines is an example of which of the following?
A. Classical conditioning.
B. Operant conditioning.
C. Social learning.
D. Behavioural learning.
Answer:",True,True
"Why is market segmentation carried out?
A. To break down large markets into smaller markets.
B. To provide an opportunity to surpass competitors.
C. By grouping together customers with similar needs, it provides a commercially viable method of serving these customers.
D. To allow the achievement of greater market share.
Answer:",True,True
" There are three main types of buying situations in an organization, referred to by Robinson, Faris, and Wind (1967) as _____________.
A. Repeat purchases.
B. Buyphases.
C. Buyclasses.
D. Tenders.
Answer:",True,True
"Where the winning bidder obtains an unprofitable contract that he/she is duty bound to deliver because their bid price was set so low, this is known as:
A. Winner's curse.
B. Winner's price.
C. Winner's reward.
D. Loss-leader pricing.
Answer:",True,True
"This allows us to determine how the quantity of an offering relates to the price at which it is offered:
A. Price bundling.
B. Price elasticity.
C. Price inelasticity.
D. Price inflation.
Answer:",True,True
" ________________ occur(s) where there is no prior history of exchange and no future exchanges are expected between a buyer and seller.
A. Relationship marketing.
B. Service mix.
C. Market exchanges.
D. Service failure.
Answer:",True,True
"A method of marketing by electronic mail wherein the recipient of the message has consented to receive it is called:
A. Search marketing.
B. Internet advertising.
C. Permission-based email marketing.
D. Social web marketing.
Answer:",True,True
" Collectively organizations that combine to enable offerings to reach end users quickly and efficiently constitute a marketing channel, are sometimes referred to as a:
A. Vehicle.
B. Courier.
C. Transportation.
D. Distribution channel.
Answer:",True,True
" Which of the following are the three broad groups of organizational characteristics segmentation criteria?
A. Organizational size, industry type, and gender.
B. Psychographics, purchaser, and behavioural criteria.
C. Organizational size, industry type, and geographical location.
D. None of the above.
Answer:",True,True
"Which of the following is the name for a coupon that is included in a package for later purchase?
A. a free-standing coupon
B. an instant-redemption coupon
C. a bounce-back coupon
D. a rebate coupon
Answer:",True,True
" Advertising is employed as a defence, to retain customers, and to increase brand usage. Advertising is used to reinforce existing attitudes, not necessarily to drastically change them. This idea is based on:
A. Strong theory.
B. Weak theory.
C. ATR framework.
D. DRIP model.
Answer:",False,True
"_____________ is an assessment of a company's mix of products, services, investments, and other assets in order to optimize the use of resources and to assess its suitability, level of risk, and expected financial return.
A. SWOT analysis.
B. Political analysis.
C. Portfolio analysis.
D. Competitive analysis.
Answer:",True,True
" These goods are low-priced products that are bought frequently, are used just once, and incur low levels of purchase risk:
A. Non-durable.
B. Durable.
C. Generic.
D. Luxury.
Answer:",True,True
"Which of the following processes is not fundamental in explaining how consumers think and learn about products and brands?
A. Cognition.
B. Perception.
C. Learning.
D. Personality.
Answer:",True,True
" ________________is used to influence the way an organization is perceived by various groups of stakeholders.
A. Direct marketing.
B. Public relations.
C. Sale promotion.
D. Advertising
Answer:",True,True
"Marketing that moves away from a transaction-based effort to a conversation (i.e. two-way dialogue) and can be described as a situation or mechanism through which marketers and a customer (e.g. stakeholders) interact usually in real-time is known as:
A. Digital marketing.
B. Interactive marketing.
C. Direct marketing.
D. Electronic marketing.
Answer:",True,True
" The differentiation of a firm's products or services to promote environmental responsibility is referred to as:
A. Social branding.
B. Eco-branding.
C. Me-too branding.
D. Brand personality.
Answer:",True,True
" Which of the following is the rate at which a market adopts an innovation?
A. Process of diffusion.
B. Process of differentiation.
C. Adoption process.
D. Adoption lifecycle.
Answer:",False,True
"Micromarketing is directed at potential buyers who
A. have excess disposable income
B. are between the ages of 8 and 14
C. share similar attitudes and behaviors
D. have opted out of customized marketing
Answer:",True,True
" This is a group of people in the process of diffusion who enjoy being at the leading edge of innovation and buy into new products at an early stage:
A. Late majority.
B. Early adopter.
C. Early majority.
D. Laggards.
Answer:",True,True
" What channel structure is it where the product goes directly from the producer to the final customer?
A. Direct.
B. Indirect.
C. Hybrid.
D. None of the above.
Answer:",True,True
"Joint creation of value, in which customers take part in an active dialogue and co-construct personalized experiences, is referred to as:
A. Interactive marketing.
B. Co-creation experience.
C. Relationship marketing.
D. Organization marketing.
Answer:",True,True
"This form of marketing communications tool is referred to as 'a paid, mediated form of communication from an identifiable source, designed to persuade the receiver to take some action, now or in the future'. This is referred to as:
A. Advertising.
B. Personal selling.
C. Public relations.
D. Publicity.
Answer:",True,True
" The ____________ delivers to us a wide array of offerings, either directly or indirectly, through business markets, to serve our wants and needs.
A. Aggregate marketing system.
B. Planning excellence.
C. A quality rift.
D. A value line.
Answer:",True,True
" ____________ describes the extrinsic properties of the product (the colour, the packaging, the product consistency, associations) and level to which these satisfy customers' psychological or social needs.
A. Brand repositioning.
B. Brand stretching.
C. Brand equity.
D. Brand imagery.
Answer:",True,True
"AIDA stands for awareness, ________, desire and _________.
A. Interest; action.
B. Intensity; appeal.
C. Involvement; action.
D. Involvement; appeal.
Answer:",True,True
" This is where intermediaries are given exclusive rights to market the good or service within a defined 'territory', thus using a very limited number of intermediaries:
A. Exclusive.
B. Intensive.
C. Selective.
D. Direct.
Answer:",True,True
"Once the agency has discussed the brief with the client, the agency provides a detailed outline of how they intend to investigate the problem. This document is called the ____________:
A. Research brief.
B. Research proposal.
C. Research question.
D. Research programme.
Answer:",True,True
" Organizational characteristics, such as organizational size and location, are sometimes referred to as___________.
A. DMU.
B. Firmographics.
C. ACORN
D. Product usage.
Answer:",True,True
"The role of marketing communications is to engage audiences and there are four main tasks that it can be used to complete. Which of the following is not part of the four main tasks?
A. Differentiate.
B. Participate.
C. Reinforce.
D. Inform.
Answer:",True,True
"The process of making large numbers of unsolicited sales calls to potential customers whom the salesperson does not know is referred to as
A. multilevel marketing
B. cold canvassing
C. the center-of-influence method
D. the sales-associate method
Answer:",True,True
" The process by which individuals accept and use new propositions is referred to as:
A. Decision.
B. Adoption.
C. Acquisition.
D. Awareness.
Answer:",True,True
" Which of the following occurs when competitors' pricing policies are almost exclusively focused on competitors rather than customers?
A. Price differentiation.
B. Price fixing.
C. Price wars.
D. Price guarantees.
Answer:",True,True
"A commonly used basis for segmenting consumer markets is:
A. Organizational size.
B. Demographics.
C. Product type.
D. Price.
Answer:",True,True
" In B2B contexts, prices are set according to specific agreements between a company and its clients or customers (e.g. professional services such as architectural or structural engineering).This pricing approach is known as:
A. Negotiated price
B. Internal pricing.
C. Listed pricing.
D. Cost pricing.
Answer:",True,True
" Once referred to as a multibrand policy, this branding strategy requires that each product offered by an organization is branded independently of all the others. This is known as:
A. Individual branding.
B. Corporate brands.
C. Family branding.
D. Co-branding.
Answer:",True,True
" This is the use of inter-personal communications with the aim of developing positive feelings and stimulating behaviour.
A. Direct marketing.
B. Personal selling.
C. Sale promotions.
D. Advertising.
Answer:",True,True
" An approach that encompasses a wide range of relationships, not just with customers, but also those that organizations develop with suppliers, regulators, government, competitors, employees, and others, is referred to as:
A. Market exchanges.
B. Service failure.
C. Relationship marketing.
D. Shared responsibility.
Answer:",True,True
"In marketing terms, ___________ refers to what we get for what we pay:
A. Revenue.
B. Cost.
C. Value.
D. Product.
Answer:",True,True
" _______________ is concerned with the development of knowledge that is specific to the parties involved and is referred to as 'learning together'.
A. Dialogue.
B. Personal influencer.
C. Feedback.
D. Message.
Answer:",True,True
" The process that creates changes in behaviour is called:
A. Selective adaptation.
B. Learning.
C. Involvement manipulation.
D. Attitude adjustment.
Answer:",True,True
"Which of the following is the most appropriate pricing strategy to use when introducing a new and unique product to the market?
A. Price skimming
B. Promotional pricing
C. Psychological pricing
D. Penetration pricing
Answer:",True,True
"Which type of shop offers a range of grocery and household items that cater for last-minute purchase needs of consumers?
A. Supermarkets.
B. Convenience stores.
C. Category-killer stores.
D. Limited line retailers.
Answer:",True,True
" Post-purchase re-evaluation of the consumer proposition acquisition process attempts to measure the degree of:
A. Selling success experienced by the vendor.
B. Consumer satisfaction with the purchase.
C. Follow-up effectiveness of the firm.
D. Advertising influence on the purchase.
Answer:",True,True
" Many brands are deliberately imbued with human characteristics, to the point that they are identified as having particular personalities. This is referred to as:
A. Branding pyramid.
B. Brand value.
C. Brand names.
D. Brand personalities.
Answer:",True,True
"Marketing research:
A. Is work undertaken to understand how to make specific marketing strategy decisions.
B. Is the collection and analysis of data from a sample or census of individuals or organizations.
C. Includes all forms of market, opinion, and social research such as consumer and industrial surveys.
D. Is work undertaken to determine either structural characteristics of the industry of concern.
Answer:",False,False
"____________ is very effective at delivering messages to target audiences as it allows for explanation in a way that most other media cannot.
A. Digital.
B. Print.
C. Broadcast.
D. Outdoor.
Answer:",False,False
" This is a marketing communications activity concerned with providing support for the sales force and merchandising personnel:
A. Store marketing.
B. Field marketing.
C. Sales promotions.
D. Personal selling.
Answer:",True,True
"Services are consumed at the point they are produced. In other words, service delivery cannot be separated or split out of service provision or service consumption. Which characteristic of service is this referred to?
A. Intangibility.
B. Variability.
C. Inseparability.
D. Perishability.
Answer:",True,True
"These are costs which do not vary according to the number of units of product made or service sold:
A. Fixed costs.
B. Moving assets.
C. Working capital.
D. Fixed capital.
Answer:",True,True
"SWOT is an acronym for:
A. Strengths, weaknesses, opportunities, threats.
B. Strategy, work, openness, toughness.
C. Strategy, weakness, opinions, tactics.
D. Strategy, working, opinion, tactical.
Answer:",True,True
"The three stages of attitude formation are that we learn something, we feel something, and we act on our attitudes. The stage that we learn something is referred to as:
A. Behaviour.
B. Conative.
C. Cognitive.
D. Emotional.
Answer:",True,True
"Market testing studies use __________ to carry out controlled experiments in specific country regions, where specific adverts can be shown, before exposing the 'new feature' (offering, campaign, distribution, etc.) to a full national or even international launch.
A. Test markets.
B. Data mining.
C. Analytical information.
D. Storyboards.
Answer:",True,True
" When there is little or no personal contact between customer and service provider, this is classified as:
A. Low-contact service.
B. Medium-contact service.
C. High-contact service.
D. Intense-contact service.
Answer:",True,True
"Which of the following is not an example of a behavioural variable?
A. Product usage.
B. Media usage.
C. Purchase occasion.
D. Personality.
Answer:",True,True
" __________ is the collection and interpretation of information about forces, events, and relationships that may affect the organization.
A. Environmental scanning
B. Stakeholder analysis
C. Market sampling
D. Opportunity analysis
Answer:",True,True
"ACORN, a segmentation analysis technique, stands for which of the following?
A. A corresponding official residential notation.
B. A classification of reported nationals.
C. A classification of residential neighbourhoods.
D. A countrywide official resources navigation.
Answer:",True,True
" A probability sample constructed so that randomly selected sub-samples of different groups are represented in the total sample is called a:
A. Stratified sample.
B. Convenience sample.
C. Quota sample.
D. Cluster sample.
Answer:",True,True
"Which of the following terms refers to the paid mention of a company, a product, or a service by a form of media?
A. Advertising
B. Public relations
C. Third-party endorsement
D. Puffing
Answer:",True,True
"Marketing period, 1950s-1980s - characterized by a more advanced focus on the ___________.
A. Society and ethics.
B. Personal selling.
C. Physical production.
D. Customer's needs.
Answer:",True,True
"Which of the following statements is correct?
A. Marketing is the term used to refer only to the sales function within a firm.
B. Marketing managers don't usually get involved in production or distribution decisions.
C. Marketing is an activity that considers only the needs of the organization; not the needs of society as a whole.
D. Marketing is the activity, set of institutions, and processes for creating, communicating, delivering, and exchanging offerings that have value for customers, clients, partners, and society at large.
Answer:",True,True
" Which of the following is a stage in the new product development process, undertaken when a new product is tested with a sample of customers, or is launched in a specified geographical area, to judge customers' reactions prior to a national launch?
A. Test marketing.
B. Focused marketing.
C. Live marketing.
D. Generic marketing.
Answer:",True,True
"The term marketing refers to:
A. new product concepts and improvements.
B. advertising and promotion activities.
C. a philosophy that stresses customer value and satisfaction.
D. planning sales campaigns.
Answer:",True,True
" ____________ is the set of practices that enables organizations to communicate and engage interactively with their audiences through any mobile device or network.
A. Mobile marketing
B. Social web marketing.
C. Internet marketing
D. Social media marketing
Answer:",True,True
" According to the British Government, which of the following is not a marketing function?
A. Promote marketing intelligence.
B. Develop sales tactics.
C. Develop the customer proposition.
D. Work with other business functions and third parties.
Answer:",True,False
"The use of entertainment material delivered through paid or owned media and which features a single company or brand is referred to as:
A. Sponsorships.
B. Exhibitions.
C. Branded content.
D. Advertisement.
Answer:",True,True
"Second-hand data, collected for someone else's purposes, is known as____________:
A. Primary research.
B. Descriptive research.
C. Causal research.
D. Secondary research.
Answer:",True,True
" Which of the following refers to unsolicited electronic messages?
A. Opt-in email.
B. Consent marketing.
C. Spam.
D. Opt-out email.
Answer:",True,True
" The purpose of evaluating the attractiveness of the differing market segments identified in the second stage of the market segmentation process is to:
A. Identify the specific members of each segment to be able to contact each of them directly.
B. Determine the level of resources that must be committed to each segment.
C. Evaluate the market potential within each segment.
D. Design marketing strategy and tactics to reinforce the firm's image.
Answer:",True,True
"Which of the following types of advertising is being used when a retail store agrees to share advertising costs for a consumer product with the national distributor of the product?
A. Trade advertising
B. Industrial advertising
C. National advertising
D. Cooperative advertising
Answer:",True,True
" This pricing approach is used when the firm sets prices according to how much customers are prepared to pay:
A. Cost-oriented approach.
B. Value-oriented approach.
C. Competitor-oriented approach.
D. Demand-oriented approach.
Answer:",True,False
"These goods are bought infrequently, used repeatedly, and involve a reasonably high level of consumer risk:
A. Impulse goods.
B. Luxury goods.
C. Non-durable goods.
D. Durable goods.
Answer:",True,True
"_____________ helps in 'problematizing hitherto uncontentious marketing areas to reveal underlying institutional and theoretical dysfunctionalities' (Saren, 2011:95).
A. Production marketing
B. Sustainable marketing
C. Relationship marketing
D. Critical marketing analysis
Answer:",True,True
"An important characteristic of services is that they are produced and consumed by people, simultaneously, as a single event. One of the outcomes of this unique process is that it is exceedingly difficult to standardize the delivery of services around the blueprint model. Which characteristic of service is this referred to?
A. Intangibility.
B. Inseparability.
C. Variability.
D. Perishability.
Answer:",True,False
"Which type of retailer involves comparatively low prices as a major selling point combined with the reduced costs of doing business?
A. Discount retailers.
B. Convenience stores.
C. Category killer stores.
D. Limited line retailers.
Answer:",True,True
"A marketing philosophy summarized by the phrase 'a stronger focus on social and ethical concerns in marketing' is characteristic of the _________ period.
A. Production.
B. Sales.
C. Marketing.
D. societal marketing.
Answer:",True,True
"The development of social media has enabled individuals to communicate with organizations, communities, friends, and family. The content of the message can be about brands, experiences, or events, and is developed and shared by individuals. This is referred to as:
A. Broadcast.
B. User-generated content.
C. Viral marketing.
D. Telemarketing.
Answer:",True,True
" To highlight the variation in approaches to purchasing behaviour, Svahn and Westerlund (2009) identify six principal purchasing strategies used by organizations. The __________ strategy refers to a buyer's efficiency orientation where the main purchasing goal is to seek the lowest price for the offering. To help achieve this, the buyer actively promotes competition among several potential suppliers.
A. 'Bargainer' purchasing.
B. The 'adaptator' purchasing.
C. Price minimizer' purchasing.
D. The 'projector' purchasing.
Answer:",True,False
" In conducting international market research, there are three types of equivalence. Which of the following is NOT one of the equivalences?
A. Conceptual equivalence.
B. Market equivalence.
C. Functional equivalence.
D. Translation equivalence.
Answer:",True,True
"Which of the following gives the owner exclusive rights by law to use a brand?
A. Brand loyalty
B. Brand mark
C. Trade name
D. Trademark
Answer:",True,True
