prompt,mixtral-8x7b-instruct-v0.1,gpt-4-1106-preview
"In a Robertsonian translocation fusion occurs at the:
A. telomeres.
B. centromeres.
C. histones.
D. ends of the long arms.
Answer:",True,True
"Zinc finger proteins and helix-turn-helix proteins are
A. types of DNA-binding proteins
B. involved in the control of translation
C. components of ribosomes
D. part of the hemoglobin in blood cells
Answer:",True,True
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females?
A. 0.01
B. 0.001
C. 0.02
D. 0.0001
Answer:",False,True
"In DNA adenine normally pairs with:
A. cytosine.
B. guanine.
C. thymine.
D. uracil.
Answer:",True,True
"The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:
A. autosomal dominant.
B. autosomal recessive.
C. X-linked dominant.
D. X-linked recessive.
Answer:",True,True
"Mapping of human chromosomes:
A. has been restricted to the sex chromosomes because of small family sizes
B. proceeded much more successfully as large numbers of DNA markers became available.
C. has determined that the number of linkage groups is about twice the number of chromosomes
D. has demonstrated that almost all of the DNA is involved in coding for genes
Answer:",True,True
"Intergenerational transmission to offspring can occur as a result of parental exposures to ______.
A. war
B. natural disasters
C. hunger
D. all of these
Answer:",True,True
"Asp235Phe in a molecular report indicates that:
A. asparagine has been replaced by phenylalanine.
B. phenylalanine has been replaced by asparagine.
C. aspartic acid has been replaced by phenylalanine.
D. phenylalanine has been replaced by aspartic acid.
Answer:",True,True
"The risk of abnormality in the child of a mother with untreated phenylketonuria is:
A. 1%
B. 10%
C. 25%
D. Almost 100%
Answer:",True,True
"Exon skipping is associated with:
A. nonsense mutations.
B. regulatory mutations.
C. RNA processing mutations.
D. silent mutations.
Answer:",True,True
"Which of the following is not a chromosome instability syndrome?
A. Klinefelter syndrome
B. Ataxia telangiectasia
C. Fanconi anaemia
D. Bloom syndrome
Answer:",True,True
"Normal adult haemoglobin (Hb A) consists of:
A. two α (alpha) and two β (beta) chains.
B. two α and two γ (gamma) chains.
C. two α and two δ (delta) chains.
D. four γ chains.
Answer:",True,True
"In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?
A. Brother
B. Nephew
C. Grandchild
D. Aunt
Answer:",True,True
"The mutation in sickle-cell disease consists of:
A. a deletion.
B. a duplication.
C. an insertion.
D. a point mutation.
Answer:",True,True
"Which of the following is an example of monosomy?
A. 46,XX
B. 47,XXX
C. 69,XYY
D. 45,X
Answer:",True,True
"QTL analysis is used to
A. identify chromosome regions associated with a complex trait in a genetic cross
B. determine which genes are expressed at a developmental stage
C. map genes in bacterial viruses
D. identify RNA polymerase binding sites
Answer:",True,True
"What would be the frequency of AABBCC individuals from a mating of two AaBbCc individuals?
A. 1.0/64
B. 1.0/32
C. 1.0/128
D. 1.0/256
Answer:",False,True
"It is currently estimated that there are ______ human protein-coding genes although this estimate may be reduced over time.
A. 10,000–15,000
B. 19,000–20,000
C. 29,000–30,000
D. 100,000
Answer:",True,True
"With which of the following relatives is an individual most likely to share a common HLA haplotype?
A. Father
B. Mother
C. Sister
D. Son
Answer:",False,True
"Which of the following genes conveys susceptibility for polygenic Alzheimer disease?
A. APP
B. PS1
C. PS2
D. APOE
Answer:",True,True
"The DiGeorge/Shprintzen syndrome is caused by a deletion in which chromosome?
A. 4
B. 7
C. 15
D. 22
Answer:",True,True
"X-chromosome inactivation
A. results in genetically turning off one of the two X chromosomes in female mammals
B. takes place in humans so that the same X chromosome is inactive in all of the cells of a female
C. is the cause of the Y chromosome being genetically inactive
D. occurs in fruit flies but not in mammals
Answer:",True,True
"The pattern of inheritance shown by glucose-6-phosphate dehydrogenase (G6PD) deficiency is:
A. autosomal dominant.
B. autosomal recessive.
C. X-linked dominant.
D. X-linked recessive.
Answer:",True,True
"Homeobox sequences
A. are present in the genome of many animal species
B. are found in prokaryotes but not in eukaryotes
C. were identified as the integration sites for bacterial viruses
D. represent integration sites for transposable elements
Answer:",True,True
"Which of the following karyotypes is diagnostic of Down syndrome
A. 46,XX,der(14;21)(q10;q10)pat+21
B. 47,XY,+13
C. 45,XX,rob,(14;21)(q10;q10)
D. 46,XY,t(2;3)(q21;q12)
Answer:",False,True
"Nature is more important for ______ differences, while nurture has greater influence on ______ differences.
A. structural and anatomical; psychological and social
B. psychological and social; structural and anatomical
C. structural and psychological; anatomical and social
D. social and anatomical; psychological and structural
Answer:",False,False
"Which of the following would result in Angelman syndrome?
A. Maternal UPD 15
B. Paternal UPD 15
C. Deletion in the paternally derived chromosome 15
D. A mutation in the SNRPN promoter
Answer:",False,False
"Recombinant alpha-iduronidase is used for the treatment of which disease/syndrome?
A. Fabry disease
B. Gaucher disease
C. Hurler syndrome
D. Pompe disease
Answer:",True,True
"Research from Moshe Szyf and colleagues has provided significant findings on the epigenetic influences of prenatal maternal stress. This work has been labelled ______.
A. developmental epigenetics
B. social epigenetics
C. fetal epigenetics
D. maternal epigenetics
Answer:",False,True
"If both parents are affected with the same autosomal recessive disorder then the probability that each of their children will be affected equals ___.
A. 1 in 4
B. 1 in 2
C. 2 in 3
D. 1
Answer:",False,True
"The mutational mechanism in δβ-thalassaemia consists of:
A. a deletion.
B. a duplication.
C. an insertion.
D. a point mutation.
Answer:",False,True
