prompt,mixtral-8x7b-instruct-v0.1,gpt-4-1106-preview
"Unlike most other early civilizations, Minoan culture shows little evidence of:
A. trade.
B. warfare.
C. the development of a common religion.
D. conspicuous consumption by elites.
Answer:",False,False
"The greatest Egyptian pyramids at Giza were built:
A. as burial monuments for the pharaoh Khufu, Khufu's son Khafre, and Khufu's grandson Menkaure.
B. by slaves who were coerced and worked under the threat of death, as described in the book of Exodus of the Old Testament.
C. in the construction frenzy of the 6th dynasty.
D. all of the above.
Answer:",True,True
"When anatomically modern humans first arrived in the Middle East, who did they encounter?
A. Neandertals, the evolutionary descendants of the premodern human inhabitants of Europe and Asia
B. Homo erectus, the evolutionary descendants of the premodern human inhabitants of Europe and Asia
C. Homo sapiens, who had evolved independently in Asia and arrived there by 200,000 years ago
D. All of the above
Answer:",True,True
"The “Lion Man” from Hohlenstein-Stadel cave is an example of:
A. mobiliary art.
B. long-distance trade of exotic raw materials.
C. parietal art.
D. a Venus figurine.
Answer:",True,True
"At its peak, the palace at Knossos is thought to have had over _________ rooms.
A. 100
B. 500
C. 1,000
D. 5,000
Answer:",True,True
"The Hopewell were complex rank societies, but they were not a state. Hopewell culture lacked all of the following elements EXCEPT:
A. formal government
B. monumental earthworks
C. urban centers
D. a permanent military
Answer:",False,True
"Markings found on the mud-bricks of Huaca del Sol are probably:
A. instructions for the builders written there by the engineers.
B. random scratches and not a meaningful script or written language.
C. intended to identify the local group that had produced them.
D. simple arithmetic performed by carpenters on the building site.
Answer:",True,True
"The 30 upright stones at Stonehenge are called _______; the horizontal stones are _________.
A. legumes, sarsens
B. lintels, stelae
C. sarsens, lintels
D. trilithon, tholoi
Answer:",True,True
"The secondarily altricial condition of modern human babies may have been an evolutionary solution, in that:
A. the brain size of hominids had not grown for more than a million years, making it difficult for babies to walk.
B. it allowed for bipedalism and independence from the mother at an earlier age.
C. it allowed for subsequent growth of the brain, since bipedalism had resulted in a narrowed birth canal in the female pelvis.
D. it allowed for growth of the brain to nearly adult size prior to birth, since bipedalism had resulted in a wider birth canal in the female pelvis.
Answer:",True,True
"Research on C3 and C4 pathways indicates that changes in plant communities were associated with a transition in the diets of ancient hominids from:
A. species focused on grasses to nuts and fruits.
B. meat to fruits and vegetables.
C. fruits and vegetables to fish.
D. nuts and fruits to species more focused on grasses.
Answer:",True,True
"Which of the following is evidence of new uses for plants during the Middle Stone Age?
A. the use of seeds as a natural insecticide in Altamira cave in southwestern Europe
B. plant materials such as flowers in Aurignacian burials in southern France
C. plant material lining the floor of Sibudu Cave in South Africa
D. the use of wood in the Gravettian tradition to make spear-throwers and canoes
Answer:",True,True
"That modern Africans do not possess any Neandertal DNA indicates that:
A. Gene flow between Neandertals and anatomically modern humans must have occurred before Neandertals migrated out of Africa.
B. Gene flow between Neandertals and anatomically modern humans occurred after anatomically modern humans migrated out of Africa.
C. Neandertals who lived in Africa did not interbreed with anatomically modern humans, but must have followed them when they migrated out of Africa.
D. Interbreeding between anatomically modern humans and Neandertals never occurred.
Answer:",True,True
"Toward the end of the Pleistocene, between 28,000 and 18,000 years ago, worldwide sea level was much lower than present day, resulting in the exposure of a landmass east of Siberia called __________. This period is called the _______.
A. Beringia; Late Beringian Period
B. Sundaland; McKenzie Maximum
C. Beringia; Late Glacial Maximum
D. Wallacea; Late Laurentide Period
Answer:",True,True
"Which archaeological method is best for identifying large-scale land modifications?
A. test pits
B. ground-penetrating radar
C. aerial photography
D. proton magnetometers
Answer:",True,True
"What designation for a pottery style was eventually applied to an entire cultural complex that moved across the Pacific?
A. Clovis
B. Nenana Complex
C. Lapita
D. Micronesian Pottery Tradition
Answer:",True,True
"What is one of the differences between simple foragers and complex foragers?
A. Complex foragers employ irrigation technology.
B. Complex foragers rely on a wider range of food sources.
C. Complex foragers are more highly mobile.
D. Complex foragers focus on a few highly productive resources.
Answer:",True,True
"The significance of Frere's discovery was that what he found was located:
A. beneath the remains of extinct animals.
B. on the surface, above the remains of extinct animals.
C. in a region of Africa where no one thought humans had ever lived.
D. on top of the ruins of a Medieval castle.
Answer:",False,True
"What is the earliest form of writing in the world and where did it develop?
A. cuneiform, in Mesopotamia
B. hieroglyphics, in Egypt
C. clay-tablets, at Knossos
D. runes, at Stonehenge
Answer:",True,True
"A pattern of social integration in which individuals are placed into a hierarchy of social levels is called:
A. urbanization.
B. a social system.
C. social stratification.
D. a necropolis.
Answer:",True,True
"The Minoan economy may have been especially vulnerable to natural catastrophe because it relied heavily on:
A. agriculture
B. maritime trade
C. metalworking
D. slave labor
Answer:",True,True
"The _______ developed one of the earliest kingdoms in South America, reaching its height at around _________.
A. Moche; AD 400
B. Wari; AD 100
C. Inca; AD 200
D. Maya; AD 400
Answer:",True,True
"What is the name of the lithic technology seen in the Arctic and consisting of wedge-shaped cores, micro-blades, bifacial knives, and burins?
A. Clovis Complex
B. Denali Complex
C. Folsom Complex
D. Nenana Complex
Answer:",False,True
"Which of the following is used to remove the soil enclosing site materials?
A. brushes
B. trowels
C. dental picks
D. all of the above
Answer:",True,True
"A continuous, projecting ridge of bone above and across the eye orbits is called the:
A. sagittal crest.
B. supraorbital torus.
C. maxilla.
D. occipital bone.
Answer:",True,True
"Ancestral Puebloan culture in Chaco Canyon was comprised of:
A. around 75 substantial settlements and more than 300 smaller communities.
B. more than 500 towns and villages with monumental architecture.
C. between 30 and 40 farmsteads and three large pueblos.
D. one large city state with more than 300 outlying farmsteads.
Answer:",True,True
"The Yang-shao culture gave way to the Lung-Shan sometime after:
A. 6,000 B.P.
B. 5,000 B.P.
C. 4,000 B.P.
D. 3,000 B.P.
Answer:",True,True
"The most prominent feature of the food resource base of post-Pleistocene Europe was its:
A. dependence on megafauna.
B. hunting and gathering.
C. dependence on fur-bearing animals.
D. diversity.
Answer:",False,True
"Evidence of wild grain harvesting and consumption in Israel dates to as early as
A. 20,000 B.P.
B. 12,000 B.P.
C. 10,000 B.P.
D. 8,000 B.P.
Answer:",False,True
"Civilization in the Indus Valley was characterized by:
A. highly centralized economies.
B. carefully planned and designed cities.
C. standardized weights and measures.
D. all of the above.
Answer:",True,True
"According to one theory, the power of Ancestral Pueblo elites emerged when certain groups:
A. predicted astronomical events such as eclipses and meteor showers.
B. constructed monuments and elaborate multi-storied cliff dwellings.
C. stored food surpluses in good years for distribution in bad years.
D. incorporated other societies through conquest warfare.
Answer:",True,True
"Teotihuacán came to prominence in the Basin of Mexico after its rival, Cuicuilco,
A. was crippled by a volcanic eruption.
B. succumbed to a civil war among its ruling families.
C. suffered a blight on its crops.
D. was flooded by a Gulf Coast hurricane.
Answer:",True,True
"Evidence from northwest coast societies indicates that what is ultimately needed for the development of social complexity is:
A. agriculture.
B. irrigation technology.
C. social stratification.
D. a food surplus.
Answer:",True,True
"Which subfield of anthropology aims to better understand the nearest living relatives of humans?
A. paleoanthropology
B. archaeology
C. primatology
D. linguistics
Answer:",True,True
"How did Aurignacian technology differ from Mousterian technology?
A. Mousterian technology produced more projectile points.
B. Mousterian technology produced more usable blade surface.
C. Aurignacian technology produced more usable blade surface.
D. Aurignacian technology was focused on the production of hand axes.
Answer:",True,True
"Which of the following is evidence of a complex society?
A. monumental works
B. burials with grave goods
C. leisure and a sedentary lifestyle
D. all of the above
Answer:",False,False
"The face of Homo erectus was more ________ than modern humans, but less so than Homo habilis.
A. altricial
B. hairy
C. occipital
D. prognathous
Answer:",True,True
"Montezuma ruled over millions of people from the _______ capital of _____.
A. Maya; Tikal.
B. Aztec; Tenochtitlán.
C. Teotihuacános; Teotihuacán.
D. Zapotec; Monte Albán.
Answer:",True,True
"The belief that all of the characteristics of civilization developed in one place, such as Egypt, and from there spread out to the rest of the world is known as:
A. cultural evolution
B. migrationism
C. diffusionism
D. anti-originalism
Answer:",True,True
"When the ratio of brain size to body size is compared, which species has a proportionally larger brain?
A. Homo erectus
B. premodern Homo sapiens
C. Neandertals
D. modern Homo sapiens
Answer:",True,True
"The royal graves of the Shang Dynasty consisted of enormous cruciform-shaped tombs, where the deceased kings were buried with:
A. jade, bronze, and ceramic artifacts.
B. chariots and horses.
C. the headless bodies of humans who had been sacrificed.
D. all of the above.
Answer:",True,True
"The above hominid species discovered in Malapa Cave in South Africa has been classified as:
A. Homo habilis
B. Australopithecus sediba.
C. Homo sapiens.
D. Australopithecus robustus
Answer:",True,True
"Ethnographic evidence supports which of the following connections between surplus food and social complexity?
A. Only agriculturalists can produce the food surplus necessary for economic inequality.
B. Some resource-rich environments allow for the creation of surpluses that can lead to economic inequalities and social complexity.
C. Economic inequalities are the foundation of social complexity and entirely dependent on agriculture for the production of surplus food.
D. The production of surplus food is not important in the development of economic inequalities or social complexity.
Answer:",True,True
"Which of the following was the greatest advantage of using fire in human evolution?
A. Fire offers protection from predators and enemies.
B. Fire makes meat more digestible and kills bacteria.
C. Fire produces light and heat.
D. Fire can be used in warfare and to clear fields.
Answer:",False,True
"Palynology is the study of _________, which allows scientists to reconstruct ______.
A. foraminifera; a master sequence of tree rings.
B. coprolites; paleopathology and sexual dimorphism.
C. pollen; plant communities and climate.
D. phytoliths; artificial selection and photosynthesis pathways.
Answer:",True,True
"What was the unifying element of Olmec culture?
A. religious iconography
B. large armies
C. agricultural surpluses
D. all of the above
Answer:",True,True
"Which of the following ancient civilizations has a written language that is the furthest from being fully deciphered?
A. the Indus Valley
B. Egyptian
C. Mesopotamian
D. Chinese
Answer:",True,True
