prompt,mixtral-8x7b-instruct-v0.1,gpt-4-1106-preview
"Which of the following statements expresses a relationship between aging and sexual functioning
A. Aging is related to an increase in vaginal lubrication
B. Aging is associated with an increase in the frequency and number of orgasmic contractions in both sexes
C. There is no significant relationship between aging and sexual responses in either sex
D. Aging is related to some loss of erectile rigidity in the male
Answer:",True,True
"According to Piaget, children are ___________.
A. “Blank slates”
B. Less intelligent than adults
C. “Little scientists”
D. Shaped by culture
Answer:",True,True
"If a test has a standard error of measurement of 15 points, itis correct to conclude that
A. about 68% of the observed scores for the test population lie within 15 points of the mean score
B. about 68% of the individuals with a given cure score will have observed scores within 15 points of the true score
C. about 15% of the scores are in error (i.e., they are not measuring the trait reliably)
D. differences of up to 30 points represent the same true score
Answer:",True,True
"Any substance that can have a negative impact on fetal development is ___________.
A. An Apgar
B. A teratogen
C. Only a problem in the first 6 weeks
D. A controlled substance
Answer:",True,True
"If you were hired by a large company to develop a new training program, your first step would probably be to conduct a:
A. needs analysis.
B. job evaluation.
C. summative evaluation.
D. formative evaluation.
Answer:",True,True
"Practitioners of Gestalt psychotherapy consider a client’s desire to talk about his/her past as:
A. a useful strategy for helping the client understand the present.
B. a way for the client to avoid coming to terms with the present.
C. ""the """"second layer"""" of therapy.""
D. ""a way for achieving """"closure"""" near the end of therapy.""
Answer:",True,True
"In regard to memory, aging is most closely associated with a decline in
A. the efficiency of controlled memory processes
B. metamemory skills, or knowledge about memory
C. recognition memory
D. the amount of factual memory knowledge available
Answer:",True,True
"A 66-year-old client who is depressed, has rhythmic hand movements, and has a flattened affect is probably suffering from
A. Parkinson's disease
B. Vascular Dementia
C. a right frontal lobe tumor
D. Alzheimer's disease
Answer:",True,True
"One Friday afternoon, just before leaving on a weekend tip, a psychologist receives a call from a therapy client who claims to have taken an overdose of pills in a suicide attempt. The psychologist: tells the client to call a physician immediately and to come in at 9:00 A.M. on Monday for a session. The psychologist makes no other attempt to intervene, and the client dies later that evening without making any other calls for assistance. In this situation, the psychologist's behavior was clearly
A. unethical, because the client's needs were not addressed more directly
B. unethical, because the psychologist should have delayed the trip and given the client an appointment for that afternoon
C. unethical, because the psychologist should have called a physician directly
D. ethical, because it was not possible to determine whether or not the client was being manipulative
Answer:",True,True
"A family therapist using the structural approach of Salvador Minuchin would most likely:
A. clarify boundaries between family members in order to reduce enmeshment.
B. work initially with the most differentiated family member.
C. ""use a multiple-therapist team to prevent any one therapist from becoming """"triangulated"""" into the family system.""
D. ""issue specific """"directives"""" designed to counteract dysfunctional processes.""
Answer:",False,True
"A researcher interested in examining the potential impact of parent alcoholism on child and family development recruits 12-year-olds (n = 100), 13-year-olds (n = 100), and 14-year-olds (n = 100)—half of whom have an alcoholic parent and half of whom do not—into a multiple-year longitudinal study assessing various outcomes. This study is best characterized as:
A. A true experiment
B. A cross-sequential cohort design
C. A natural experiment
D. A cross-sectional cohort design
Answer:",True,True
"Focal damage to the portion of the left frontal lobe known as Broca's area is likely to impair
A. recall of words
B. verbal comprehension
C. verbal learning
D. production of speech
Answer:",True,True
"According to Gerald Patterson and his colleagues (1992), which of the following is a key contributor to aggressive behavior in children?
A. the child’s intelligence.
B. the child’s “basic personality.”
C. the strength of the parent-child attachment.
D. the parents’ childrearing behaviors
Answer:",True,True
"A person who received a Level 4 rating on the Rancho Los Amigos Scale of Cognitive Functioning:
A. is nonresponsive to visual or auditory stimuli and seems to be in a state of deep sleep.
B. is confused and incoherent, may exhibit bizarre behavior, and is unable to care for him/herself.
C. is alert and oriented and can remember and integrate remote and recent events but may have some impairment in judgment, planning, and abstract reasoning.
D. is functioning at an intellectual level that is superior for his/her age, education, and demographic background.
Answer:",False,True
"A psychologist who already has an established therapeutic relationship with a child is asked to act as an expert witness in a divorce proceeding involving custody of the child. The psychologist's best course of action would be to:
A. decline the request to testify.
B. agree to testify only if she obtains consent from both parents.
C. agree to testify only if she can evaluate all of the involved parties.
D. agree to testify only if her familiarity with the child won''t bias her testimony.
Answer:",True,True
"Motivation is a complex process involving weighing alternatives, costs, and benefits. From your knowledge about GOAL-SETTING THEORY, which one out of the following statements is incorrect?
A. goals serve 2 purposes: they are a basis for motivation and they direct behaviors
B. goal attainment is maximized when goals are specific and highly difficult
C. goal attainment is maximized when frequent feedback is given
D. worker participation in goal-setting is also good
Answer:",True,False
"The STATISTICS are a method of measuring variables and organizing and analyzing data statistical method can be descriptive or inferential and have a scale of measurement. From your knowledge about statistics measurement, what is the RATIO DATA?
A. Ratio Data is scaled and at equal distances but no absolute zero
B. Ratio Data orders the amount of variable, but no info about how much
C. Ratio Data is an interval data with an absolute zero
D. Ratio Data divides variables into unordered categories
Answer:",True,True
"Aronson and Mills examined the effects severity of initiation into a group on subsequent attitudes toward the group. Results of their study indicated that, compared to women who underwent a mild initiation, women who underwent a severe initiation as a precondition of group membership:
A. rated the group as less interesting and enjoyable.
B. rated the group as more interesting and enjoyable.
C. were more likely to drop out of the group.
D. were more likely to dislike fellow group members.
Answer:",True,True
"A graduate student’s dissertation chair, Dr. X, turns out to be of little help, and the student ends up obtaining advice and assistance from an associate professor, Dr. Z. Dr. X does review the dissertation when it is completed and she is listed as the dissertation chair. Several months later, the student decides to write an article for a professional journal that is based his dissertation research. In terms of publication credit:
A. Dr. Z should be listed as first author if her contribution was substantial.
B. Dr. Z should be listed as second author if her contribution warrants it.
C. Dr. X should be listed as second author since she was the student’s official dissertation chair.
D. Dr. Y and Dr. Z should be listed as co-authors.
Answer:",False,True
"The TRANSTHEORETICAL MODEL OF CHANGE was originally developed to treat addictive behaviors and 5 stages people pass through in the process of change. Which stage is correctly defined?
A. PRECONTEMPLATION: intend to take action in next 6 months
B. PREPARATION: consider change in next 6 months
C. ACTION: time and effort into modifying behavior
D. MAINTENANCE: behavior change lasted at least 8 months
Answer:",True,True
"When a psychologist doesn’t feel he or she is competent to accept a case, the most justifiable option is to:
A. Try his or her best
B. Refer out
C. Read a chapter on the issue
D. Charge the client less
Answer:",True,True
"A personnel director decides to raise a selection test’s cutoff score when using the test to assist in hiring decisions. Most likely the personnel director has made this decision in order to:
A. increase the number of true positives.
B. decrease the number of false positives.
C. increase the number of false negatives.
D. decrease the number of true negatives.
Answer:",False,True
"Dr. Jones, a clinical psychologist, has been seeing Lisa L. in therapy for one month. Dr. Jones considers Lisa to be a very attractive woman and finds himself having sexual fantasies about her. As an ethical psychologist, Dr. Jones should:
A. recognize that such attraction is normal but proceed with caution.
B. confess his attraction to Lisa and make it a topic for mutual examination in therapy.
C. recognize that such attraction is inappropriate and refer Lisa to another therapist without explaining the reason to her.
D. continue working with Lisa but consult with a colleague if he believes his attraction might be interfering with his objectivity.
Answer:",True,True
"Parametric Tests are used when data is interval or ration. When is it used the ONE-WAY ANOVA?
A. used when there is 1 IV and means of more than 2 groups
B. used when there is 2 IV and means of more than 4 groups
C. used when there is 3 IV and means of more than 5 groups
D. used when there is 4 IV and means of more than 6 groups
Answer:",True,True
"A father brings his 22-year-old son to you for evaluation. Within the past 6 weeks, this formerly socially active young man has quit his job as a restaurant manager, has become withdrawn, and now spends most of his time in his room watching TV. He reports that he occasionally receives messages from aliens through the TV. Based on this information, which of the following is the most appropriate DSM-IV diagnosis
A. Schizophreniform Disorder
B. Brief Reactive Psychosis
C. Schizophrenia
D. Antisocial Personality Disorder
Answer:",False,True
"Identify the only construct that is not pertinent to developmental models on intelligence:
A. Investment theory
B. The positive manifold
C. G theory
D. Primary mental ability theory
Answer:",True,False
"Thomas and Chess’s (1977) “goodness-of-fit” model predicts that maladjustment in children is due to:
A. a mismatch between the child’s basic temperament and his/her parents’ childrearing practices.
B. a mismatch between the child’s attachment behaviors and his/her parents’ response to those behaviors.
C. inconsistencies in the parenting styles of the child’s caregivers.
D. inconsistencies in the child’s sense of self and the feedback the child receives from caregivers about his/her behavior.
Answer:",True,True
"The STANDARD SCORES express raw score distance from mean by SD and considered the most satisfactory type of NR score. Which statement out of the following ones is about T-scores?
A. Shows how many standard deviations a score is above or below the mean: a score of +1.0 means it’s 1 SD above the mean
B. M=50, SD=10- it is used on many psychological tests, MMPI
C. standard nine: M=5, SD=approx 2
D. M=100, SD=15 or 16
Answer:",False,True
"Trend analysis is a type of analysis of variance that is used when:
A. a study’s independent variable is quantitative.
B. a study’s dependent variable is qualitative.
C. a cross-sectional research design has been used.
D. a factorial research design has been used.
Answer:",True,True
"When performing a(n) ________ task, group members select a solution offered by one of the group members as the group’s solution.
A. compensatory
B. disjunctive
C. conjunctive
D. additive
Answer:",True,True
"A therapist instructs a client who suffers from insomnia to polish his hardwood floors for at least two hours whenever he wakes up during the night. Apparently this therapist is familiar with the work of:
A. Luigia Boscolo.
B. Milton Erickson.
C. Salvador Minuchin.
D. Marquis de Sade.
Answer:",True,True
"A patient wishes to use data from your recent neuropsychological evaluation in a civil hearing in which he is suing the supermarket where he slipped and fell. Which answer should be the first step in fulfilling this request after a release has been duly executed?
A. Provide the data and test forms to the patient
B. Provide the data and test forms to the patient’s attorney
C. Provide the data to an appropriately qualified psychologist as indicated on the release form
D. Provide all data and test forms, if contacted directly by the attorney
Answer:",True,True
"Female applicants consistently obtain lower scores on a selection test than do male applicants. However, when they are hired, females perform as well on the job as do males. This situation illustrates which of the following?
A. differential validity
B. differential selection
C. adverse impact
D. unfairness
Answer:",False,True
"The correction for attenuation formula is used to measure the impact of increasing:
A. a test’s reliability on its validity.
B. a test’s validity on its reliability.
C. the number of test items on the test’s validity.
D. the number of test items on the test’s reliability.
Answer:",True,True
"A child diagnosed with conduct disorder cannot receive an additional diagnosis of:
A. ADHD
B. Rett’s disorder
C. Oppositional defiant disorder
D. Asperger syndrome
Answer:",True,True
"The presence of manic episodes is required for a diagnosis of:
A. Depression
B. Bipolar I
C. Bipolar II
D. Dysthymia
Answer:",True,True
"On the basis of his investigation of the relationship between affiliation and anxiety, Schachter concluded that which of the following best accounted for the desire of high-anxiety research participants to wait with other high-anxiety participants?
A. demand characteristics
B. evaluation apprehension
C. relief from discomfort
D. social comparison
Answer:",True,True
"A psychologist in private practice is going through a difficult divorce and, as a result, has started drinking and is often depressed. He should:
A. plunge deeper into his work to take his mind off his own problems.
B. seek professional consultation and consider temporarily suspending his practice.
C. explain the situation to his clients and offer to refer them to other therapists.
D. immediately refer his clients to other therapists.
Answer:",True,True
"A physician refers an asthmatic patient to you for therapy and requests regular progress reports. The most appropriate course of action for you to take is to
A. comply with this request, since a physician must be involved whenever you treat someone for a physical condition
B. tell the physician chat psychological reports can be sent only to a psychiatrist or to another psychologist
C. tell the physician thar you can send progress reports only with a written release by the patient
D. comply with this request, since the physician needs your input for best treatment of the patient's physical condition
Answer:",True,True
"As used in personnel selection, “adverse impact” means that
A. a group covered by law is hired at a rate less than 80% of that of the group with the best selection
B. selection interviews are “adverse” for groups covered by law and result in differential selection rates
C. adverse conditions exist for selection of groups covered bylaw
D. the total selection process results in unequal results for one or more groups covered by law
Answer:",False,True
"A stroke that affects the posterior region of the corpus callosum, thus disconnecting the visual centers of the brain from the language centers of the brain, may result in this syndrome:
A. Agraphia without alexia
B. Alexia without agraphia
C. Aphasia
D. Apraxia
Answer:",True,True
"Research suggests children’s successful adjustment to the divorce of their parents is most related to:
A. the frequency of contact with the noncustodial parent.
B. the quality of the parent-child relationships prior to the divorce.
C. the child’s ability to understand the cause(s) of the divorce.
D. the degree of post-divorce conflict between the parents.
Answer:",False,True
"Dr. Sam Solo is the only psychologist in a small town, and his son is enrolled in the town's only elementary school. Dr. Solo receives a call from his son's teacher who says she would like to begin therapy with him. As an ethical psychologist, Dr. Solo should:
A. tell the teacher that he is ethically prohibited from seeing her because to do so would constitute a multiple (dual) relationship.
B. begin therapy with her and discuss the potential for conflicts during the initial session and, if necessary, in subsequent sessions.
C. begin therapy with her but seek consultation if any problems arise.
D. begin therapy with her but take special precautions to ensure that client confidentiality is maintained.
Answer:",False,False
"An agonist is ___________.
A. A drug that cannot produce 100% of the biological response
B. A drug that has no effect
C. Another name for antianxiety medication
D. A drug that binds to a receptor producing a change in activity
Answer:",True,True
"Research in the workplace has shown that a subordinate’s participation in goal setting leads to the selection of goals that, when compared to goals set for subordinates unilaterally by their supervisors, are
A. more challenging
B. Of about the same level of difficulty
C. never accomplished
D. less challenging
Answer:",True,True
"You are a consultant asked to design an intervention program in a recently integrated housing project where antagonism and hostility between old and new residents are extremely high. The goal is to improve relations through contact. You would be more likely to facilitate that goal if you could arrange interactions that provide opportunities
A. at the outset for contact that is rather casual and superficial, thus providing a “warm-up” phase
B. which make explicit the status hierarchy chat is implicit in the interactions between the wo groups
C. which provide an open airing and all-out discussion about what each group believes to be the negative crits of the other
D. for each group of residents co disconfirm negative traits of the other group
Answer:",False,True
"Which of the following is true of low-context communication?
A. It is grounded in the situation
B. It relies heavily on nonverbal cues
C. It is a less unifying form of communication
D. It is more typical of culturally diverse groups in the United States
Answer:",False,False
"A former client owes you over $600.00 in therapy fees and you are considering using a collection agency to collect the money she owes you. As an ethical psychologist, you should:
A. decide not to do so because using a collection agency is prohibited by the ethical guidelines.
B. do so only if you had informed the client at the beginning of therapy that you would do so if she did not pay her fees in a timely manner.
C. contact the client first to inform her of your intent to use a collection agency if she does not pay her outstanding fees by a specific date.
D. use a collection agency only as a “last resort.”
Answer:",True,False
"If you believe another psychologist has committed an ethical violation, you should first:
A. Report it to the APA Ethics Committee
B. Report it to his or her state professional standards board
C. Wait to see whether he or she commits a second violation
D. Discuss your concerns with him or her
Answer:",True,True
"Research on the counseling of minority group member clients indicates thar they
A. remain in counseling for approximately the same length of time as nonminority dents
B. rarely seek counseling services
C. remain in counseling for a significantly longer time than non- minority clients
D. terminate counseling significantly earlier than do non-minority clients
Answer:",False,True
"A psychologist at a pain clinic is helping design a medication reduction schedule to address the learned aspects of a patient's medication use. The psychologist’s best recommendation would be to administer medication
A. in the patient’s food, because reduction will occur sooner as the patient's awareness of the medication decreases
B. at specific times, because then the medication will not be given in response to pain
C. only when requested by the patient, because reduction will occur sooner if less medication is given
D. by injection, because as administration becomes more painful, less medication will be requested
Answer:",True,True
"Research on women who have had abortions indicates that
A. subsequent problems in sexual adjustment and in relationships with men are common
B. most women who have abortions think no more about the event than they would about having a wisdom tooth removed
C. the psychological consequences are no worse than they are for women who have chosen to continue their pregnancies and give birth
D. the experience frequently has serious psychological consequences, usually in the form of guilt and depression
Answer:",True,True
"Behaviorist views have been criticized by other approaches for a number of reasons. Ethologists argued that the behaviorists ignored innate, built-in biases in learning due to evolution, but also disagreed with:
A. the use of the animals in laboratory experiments
B. the use of the humans in laboratory experiments
C. the use of the trial-and-error system
D. the use of the operant conditioning principle
Answer:",False,True
"An aspect of development that is more plastic is an aspect that is .
A. More or less fixed and difficult to change
B. Not heavily influenced by the environment
C. Relatively malleable
D. Irrelevant to developmental processes
Answer:",True,True
"From a behavioral perspective, phobic reactions to benign objects or events are acquired when those objects or events become associated with a stimulus that naturally produces a fear response. In other words, phobic reactions are due to:
A. negative reinforcement.
B. negative punishment.
C. stimulus generalization.
D. classical conditioning.
Answer:",True,True
"Statistical regression is a potential threat to a study’s internal validity when:
A. there is a statistically different number of participants in the study’s treatment groups.
B. there is a statistically significant difference in the number of participants who drop out of the different treatment groups during the course of the study.
C. participants are selected for inclusion in the study because of their extremely high or low scores on the pretest.
D. the researcher is unable to randomly assign participants to the different treatment groups.
Answer:",True,True
"According to Bem’s (1972) self-perception theory:
A. people experience discomfort (dissonance) when their behaviors are not consistent with their attitudes, beliefs, or values.
B. people enhance their own sense of self-worth by associating or identifying with others who are successful.
C. people tend to attribute their successes to dispositional factors and failures to situational factors.
D. people infer their own attitudes and emotions by observing their own behaviors and the circumstances in which those behaviors occur.
Answer:",True,True
"A 60-year-old fire chiefs referred to you because department policy requires a fitness evaluation when an employee reaches this age. You have been asked to assist in cis fitness evaluation. Which of the following would be the most important factor to consider in your evaluation
A. Emotional fitness
B. General intelligence
C. Motivation
D. Functional abilities
Answer:",True,True
"Dr. Harold Hanson, a psychologist who heads the personnel committee at a mental health facility, recommends that a psychologist who has an unresolved charge of sexual harassment against him not be considered for a promotion. In terms of his ethical responsibilities, Dr. Hanson:
A. has acted ethically since sexual harassment is explicitly prohibited by the ethical guidelines.
B. has acted ethically as long as he is willing to consider the psychologist for promotion if he is acquitted of the harassment charge.
C. has acted ethically as long as his decision is consistent with the stated promotion policy of the mental health facility.
D. has acted unethically by violating the requirements of the ethical guidelines regarding employment procedures.
Answer:",False,False
"On average, men perform better than women on all the following tasks with the exception of:
A. Simultaneous processing
B. Mental rotation
C. Target-directed motor skills
D. Mathematical problem solving
Answer:",False,True
"Comparison of an individual’s score with an inappropriate norm group affects all of the following except
A. relevance of the score
B. reliably of the score
C. decisions about the subject
D. validity of the score
Answer:",False,False
"Lewin’s force field theory describes planned change in organizations as involving which of the following stages?
A. unfreezing, changing, and refreezing
B. forming, performing, and re-forming
C. identifying, planning, and acting
D. setting the stage, problem-solving, and reaching an agreement
Answer:",True,True
"The primary advantage of the forced-choice distribution of rated attributes in performance appraisal is that it
A. eliminates statistical concerns about ipsative measurement
B. enhances the reliability of ratings
C. is more objective, since it does not deal with the strengths and weaknesses of the employee
D. is easier and faster to use, since only two choices are available
Answer:",False,True
"Dr. Carl Carlson is a licensed psychologist and professor in the psychology department at a large university. He is approached by a graduate student, Marla M., age 36, who asks him if he’d like to attend a baseball game on Friday night. Dr. Carlson is divorced and finds Marla to be a very attractive woman. In terms of ethical guidelines, if Dr. Carlson accepts Marla’s invitation, he will be:
A. clearly violating ethical guidelines.
B. acting ethically since he is not the one who initiated a potential relationship.
C. acting ethically as long as Marla is a student in a department other than the psychology department and will not be taking any classes in the psychology department.
D. acting ethically as long as he does not become sexually involved with Marla until she is no longer affiliated with the university.
Answer:",False,False
"Nonparametric statistics should be used instead of parametric statistics when the
A. most powerful statistical test for a fixed value of alpha is sought
B. form of the distribution of scores in the investigated population is not known
C. data in the investigated population represent a continuous variable
D. data in the investigated population are known to fulfill the requirements of an interval scale
Answer:",True,True
"""Rosenhan’s research involving “pseudopatients"""" who were admitted to psychiatric hospitals:""
A. conﬁrmed that participation in a research study alters the behavior of research participants.
B. demonstrated that labeling a person changes the person's behavior.
C. showed that the environment inﬂuences how a person's behavior is perceived.
D. ""showed that “central traits"""" have a greater impact than other traits on impression formation.""
Answer:",True,True
"When we convert total number of errors on a test to percent correct, or vice versa, we are performing which type of transformation
A. Linear
B. Nonlinear
C. Curvilinear
D. Cumulative
Answer:",True,True
"A regression model predicting frequency of tantrums from (a) effectiveness of parental commands, (b) consistency of parental discipline, and (c) parental warmth, would result in a model with:
A. One y-intercept and one regression coefficient
B. Four regression coefficients
C. One regression coefficient and three y-intercepts
D. One y-intercept and three regression coefficients
Answer:",True,True
"When using multiple regression, multicollinearity occurs when:
A. the predictors are highly correlated with one another.
B. the criterion measures are highly correlated with one another.
C. there is a low correlation between the predictors and the criterion.
D. there is a high (significant) correlation between the predictors and the criterion.
Answer:",True,True
"You receive a phone call from Hermann H., age 28, who says he is “totally miserable” because of the recent breakup with his girlfriend and that he would like to begin therapy with you. During the first session with Hermann, you find out that his political views are completely repugnant to you, and you feel that you would not enjoy working with him. As an ethical psychologist, you should:
A. consult with another psychologist during the course of treatment to make sure your feelings don’t interfere with your objectivity.
B. discuss the difference in political views with Hermann only if they become relevant to the psychotherapy process.
C. see Hermann in therapy until his current crisis is over and then make a referral if necessary.
D. provide Hermann with appropriate referrals.
Answer:",True,False
"During the second stage of Kohlberg’s preconventional level of moral development, children obey rules because:
A. they feel they have a personal duty to uphold rules and laws.
B. """"""everyone else is doing it.""""""
C. doing so helps them avoid punishment.
D. doing so helps them satisfy their personal needs.
Answer:",False,True
