prompt,mixtral-8x7b-instruct-v0.1,gpt-4-1106-preview
"Which common public relations tactic involves sending journalists on visits to appropriate locations?
A. Media release
B. Media tour
C. Press room
D. Promotional days/weeks
Answer:",True,True
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend?
A. Quickly investigate to make certain your product is definitely the cause of the illness.
B. Stop all sales of the product throughout the nation and issue a recall for that product.
C. Stop sales of the product in the Albany, New York, market and issue a recall for that product.
D. Issue a press release to the Albany, New York, market explaining how to treat the symptoms.
Answer:",True,True
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers.
A. community relations
B. consumer relations
C. employee relations
D. public issues
Answer:",True,True
"In what year did the BBC start broadcasting radio?
A. 1917
B. 1922
C. 1925
D. 1927
Answer:",True,True
"________ advertising campaigns are focused on gathering support for a particular message or cause.
A. Product-oriented
B. Person-oriented
C. Idea-oriented
D. Message-oriented
Answer:",False,True
"Why should a successful public relations counselor continually review present and future realities for an organization?
A. to develop a vision statement
B. to interpret trends for management
C. to interpret the organization's business plan
D. to consider the role public relations might play
Answer:",True,True
"Which of these definitions best describes the 'spiral of silence'?
A. When victims of abuse remain silent about the abuse
B. When people hide their opinions if they do not agree with the majority
C. When people hide their opinions if they are in disagreement with their close peers or family members
D. When public relations uses opinion poll results to generate support for a particular issue
Answer:",False,False
"What two elements do the planning models of Hendrix (2002), Kendall (1999), Merston (1963) and Parkinson and Ekachai (2006) have in common?
A. Research and evaluation
B. Strategy and evaluation
C. Strategy and implementation
D. Objectives and implementation
Answer:",False,True
"At which stage in the planning process are the objectives decided on?
A. Defining the program
B. Planning the program
C. Taking action and implementing ideas
D. Evaluation of the program
Answer:",False,True
"Which of the following is NOT one of the four categories of persuasive crisis communication strategies identified by W. Timothy Coombs?
A. ingratiation
B. downplaying
C. distancing
D. nonexistence
Answer:",False,False
