prompt,mixtral-8x7b-instruct-v0.1,gpt-4-1106-preview
"Mass-society theory suggests that:
A. the content of the media is determined by market forces
B. the subordinate classes are dominated by the ideology of the ruling class
C. the media manipulate 'the masses' as vulnerable, passive consumers
D. audiences make selective interpretations of media messages
Answer:",True,True
"The ecological approach to urban sociology involved studying:
A. how social groups colonized different areas of the city and competed for resources
B. the forms of wildlife and natural habitats that could be found on the edges of the city
C. the way in which people organized collective protests about environmental issues
D. how men and women used the city's public spaces differently
Answer:",True,True
"Becker proclaimed that cannabis use was:
A. increasing throughout all sections of youth in the 1970s
B. learned gradually through the social processes of a deviant career
C. a dangerous pastime that young people should not be allowed to pursue
D. not as enjoyable as other sociologists had suggested
Answer:",True,True
"The middle classes that developed over the nineteenth century were:
A. an urban set, involved in civic bodies and voluntary associations
B. too diverse to have a strong sense of class consciousness
C. often involved in 'white collar' work
D. all of the above
Answer:",True,True
"Technological forms of surveillance have made it easier to:
A. access and exchange 'private' information about consumers
B. reduce prison overcrowding by the use of electronic tagging
C. monitor employees' activities at work
D. all of the above
Answer:",True,True
"The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as
A. organic solidarity
B. mechanical solidarity
C. gesellschaft
D. anomie
Answer:",False,True
"There was a growth in income inequality in the 1980s because:
A. rates of income tax increased equally for all occupational groups
B. there were more professional jobs available but not enough people to fill them
C. the price of consumer goods rose at a higher rate than earnings
D. growing unemployment made more people dependent on welfare benefits
Answer:",True,True
"If a deviant act is 'normalized', it is:
A. recognised as breaking an important norm of behaviour
B. seen a temporary aberration from an otherwise 'normal' character
C. the first step in establishing a deviant career
D. attributed to the person's genetic or anatomical make up
Answer:",True,True
"In the debate about the 'managerial revolution', John Scott (1997) argued that:
A. owners still exercised control through groups of shareholders and interlocking directorships
B. ownership and management were becoming increasingly separate functions
C. the techniques of scientific management were overly bureaucratic and inefficient
D. managers were becoming dissatisfied with their working conditions and planned to overthrow the owners of businesses
Answer:",False,True
"Marxist feminists explain patriarchy in terms of:
A. a lack of equal rights and opportunities for men and women
B. sex classes, through which men oppress women economically, politically and sexually
C. women's domestic labour being exploited by the capitalist economy
D. the dual systems of capitalism and male domination
Answer:",False,True
"Which of the following was not defined by Giddens (1998) as part of New Labour's 'third way':
A. the democratization of the family
B. putting an end to privatization
C. positive welfare: 'a hand up, not a hand-out'
D. the strengthening of civil society
Answer:",True,True
