prompt,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview
"What is the structure of the United Nations Security Council?
A. 5 permanent members with veto power, 10 rotating members with no veto power
B. 5 permanent members and 10 rotating members, all with veto power
C. 10 permanent members with veto power, and 5 rotating members without veto power
D. 15 permanent members with veto power
Answer:",True,True
"What was the significance of the Gulf of Tonkin resolution?
A. It allowed the US to intensify its involvement in Vietnam
B. It illustrated the influence of public opinion on US foreign policy
C. It enhanced Congressional control over the Vietnam War
D. It curtailed US involvement in Vietnam
Answer:",True,True
"Which is not a nonstate actor that poses a threat to the United States?
A. Terrorists
B. Organized crime
C. Drug traffickers
D. China
Answer:",True,True
"Who was the first American president to visit communist China?
A. Richard Nixon
B. George H. W. Bush
C. Jimmy Carter
D. Ronald Reagan
Answer:",True,True
"The Strategic Arms Reduction Treaty was the first accord
A. on nuclear weapons signed between the United States and the Soviet Union.
B. cutting conventional arms in Europe.
C. to be rejected by the U.S. Senate.
D. mandating the elimination of many long-range nuclear missiles.
Answer:",True,True
"What were the implications of the Cold War for American exceptionalism?
A. It ended the influence of American exceptionalism entirely
B. Exceptionalism was enhanced by America's status as the 'leader of the free world'
C. The extension of American power globally challenged core assumptions of exceptionalism
D. Both b and c
Answer:",True,True
"Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s?
A. He believed that internal reform rather than international negotiation was the key to economic regeneration of the US
B. He believed that German domination of Europe would be in US interests
C. He always favoured isolationism
D. All of the above
Answer:",True,True
"What was the 'New Populism'?
A. A strand of neo-isolationist sentiment
B. A strand of internationalist sentiment
C. An expression of American cultural superiority
D. Increased incorporation of public opinion in foreign policy making
Answer:",False,True
"How did World War I shift economic power from Europe to the United States?
A. The war reduced European population levels below that of the United States
B. The United States seized German resources after the war
C. European countries paid the United States for assistance
D. The United States became a creditor country and financial centre, with European war spending boosting the US economy
Answer:",True,True
"In American government, the power to declare war rests with
A. the president of the United States.
B. the secretary of defense.
C. the chairman of the Joint Chiefs of Staff.
D. Congress.
Answer:",True,True
"How did the Cold War context shape US perceptions of the Third World?
A. The US ignored the Third World
B. Local developments were viewed through a geopolitical lens
C. The US unreservedly supported decolonization
D. None of the above
Answer:",True,True
"What was unique about the NATO intervention in Kosovo?
A. It was the first time the US became involved in the Balkans
B. It was the first time NATO used military force
C. It was the first war won by airpower alone
D. It was the first war to employ 'smart weapons'
Answer:",True,False
"What, according to Systemic theories, is the primary determinant of a state's foreign policy?
A. The character of a state's leader
B. The distribution of power in the international system
C. The distribution of power within a state's governmental system
D. A state's political ideology
Answer:",True,True
"Why is there so much uncertainty over which states have nuclear weapons?
A. Leaders have incentives to lie
B. If leaders revealed their programs, they would be more likely to be attacked
C. Leaders will not always grant foreign monitors access to their nuclear programs
D. ALL of the above
Answer:",True,True
"Within American politics, the power to accord official recognition to other countries belongs to
A. the Senate.
B. the president.
C. the Secretary of State.
D. the chairman of the Joint Chiefs.
Answer:",True,True
"What did the Moscow Treaty on Strategic Offensive Reductions do?
A. Required the United States and Russia to demobilize their armies
B. Required the United States and Russia to dismantle a significant number of their nuclear weapons
C. Prohibited the acquisition of new military bases
D. Prohibited short-range nuclear weapons
Answer:",True,True
