prompt,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview
"A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral
A. paralysis of the facial muscles.
B. paralysis of the facial muscles and loss of taste.
C. paralysis of the facial muscles, loss of taste and lacrimation.
D. paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.
Answer:",True,True
"A ""dished face"" profile is often associated with
A. a protruding mandible due to reactivation of the condylar cartilage by acromegaly.
B. a recessive maxilla due to failure of elongation of the cranial base.
C. an enlarged frontal bone due to hydrocephaly.
D. defective development of the maxillary air sinus.
Answer:",True,True
"Which of the following best describes the structure that collects urine in the body?
A. Bladder
B. Kidney
C. Ureter
D. Urethra
Answer:",True,True
"Which of the following structures is derived from ectomesenchyme?
A. Motor neurons
B. Skeletal muscles
C. Melanocytes
D. Sweat glands
Answer:",False,True
"Which of the following describes the cluster of blood capillaries found in each nephron in the kidney?
A. Afferent arteriole
B. Glomerulus
C. Loop of Henle
D. Renal pelvis
Answer:",True,True
"A patient suffers a broken neck with damage to the spinal cord at the level of the sixth cervical vertebra.
A. They will be unable to breathe without life support.
B. They will only be able to breathe quietly.
C. It is impossible to predict an effect on breathing.
D. Breathing will be unaffected.
Answer:",False,False
"Which of the following anatomical regions of abdomen lies just distal to the sternum?
A. Epigastric
B. Hypochondriac
C. Hypogastric
D. Lumbar
Answer:",True,True
"Which of the following best describes the human body's defense mechanism against environmental bacteria?
A. Hair in the nose
B. Mucous membranes
C. Osteoblasts
D. Saliva
Answer:",True,True
"The palatine processes begin to fuse at
A. six weeks post-fertilization.
B. eight weeks post-fertilization.
C. ten weeks post-fertilization.
D. twelve weeks post-fertilization.
Answer:",False,False
"Primary motor cortex activity results in
A. bilateral contraction of antigravity limb muscles.
B. bilateral contraction of limb musculature.
C. contraction of ipsilateral limb musculature.
D. contraction of contralateral limb musculature.
Answer:",True,True
"You notice that your patient's submandibular lymph nodes are enlarged. You would look for potential infection sites in the
A. hard palate.
B. hard palate and upper lip.
C. hard palate, upper lip and upper central incisor.
D. hard palate, upper lip, upper central incisor and lower first molar.
Answer:",True,True
"A patient suffers damage to the orbit in a road traffic incident resulting in damage to the third cranial nerve. Which of the following signs will be present?
A. Pupillary constriction and a medial strabismus
B. Pupillary dilatation and a medial strabismus
C. Pupillary constriction and a lateral strabismus
D. Pupillary dilatation and a lateral strabismus
Answer:",True,True
"Which of the following statements is true of the temporomandibular joint?
A. It has an articular disc of hyaline cartilage
B. Its articular surfaces are covered by hyaline cartilage
C. Proprioceptive information is carried by the chorda tympani and deep temporal nerves
D. Proprioceptive information is carried by the masseteric and auriculotemporal nerves.
Answer:",True,True
"Laryngoscopic examination of the vocal folds after suspected recurrent laryngeal nerve damage usually shows that the vocal fold on the injured side is tensed and in an intermediate position between adduction and abduction. This is because
A. cricothyroid muscle is still functional but the interarytenoid muscles are fully active.
B. cricothyroid muscle is still functional but the interarytenoids are weak.
C. cricothyroid muscle is paralyzed but the interarytenoids are fully active.
D. cricothyroid muscle is paralyzed but the interarytenoids are weak.
Answer:",False,True
"Which one of the following statements about the growth of the mandible is correct?
A. The mental symphysis closes at about 1 year postnatally
B. The condylar growth cartilage ceases activity at puberty
C. The ossification centre appears about 8 weeks I.U.L medial to Meckel's cartilage
D. The functional matrix acting on the angle of the mandible is the lateral pterygoid muscle
Answer:",False,False
"Which of the following statements is true of the pupillary light reflex?
A. Its efferent limb is carried in the optic nerve
B. It is mediated by the inferior colliculi in the midbrain
C. It is a consensual reflex
D. Its afferent limb is carried in the oculomotor nerve
Answer:",True,True
"Which muscles are normally active during quiet inspiration?
A. External and internal intercostal muscles
B. External intercostal muscles and diaphragm
C. Internal intercostal muscles and diaphragm
D. External and internal intercostal muscles and diaphragm
Answer:",False,True
"Male hormones are produced by which of the following?
A. Glans penis
B. Prepuce
C. Prostate
D. Testes
Answer:",True,True
"Oxygenated blood is carried to the heart by which of the following structures?
A. Aorta
B. Carotid arteries
C. Inferior vena cava
D. Pulmonary veins
Answer:",True,True
"Which of the following allows air to pass into the lungs?
A. Aorta
B. Esophagus
C. Trachea
D. Pancreas
Answer:",True,True
"Where is the sinoatrial node located?
A. Between the left atrium and the left ventricle
B. Between the right atrium and the right ventricle
C. In the upper wall of the right atrium
D. In the upper wall of the left ventricle
Answer:",True,True
"In relation to the rib, the corresponding intercostal nerve lies
A. deep to its superior border.
B. superficial to its superior border.
C. deep to its inferior border.
D. superficial to its inferior border.
Answer:",False,True
"The regional lymphatic drainage of the left side of the tip of the tongue is to the
A. left submental lymph node.
B. left and right submental lymph nodes.
C. left submandibular lymph node.
D. left and right submandibular lymph nodes.
Answer:",False,True
"Gastrulation is the process of
A. mesoderm formation and occurs after neurulation.
B. ectomesenchyme formation and occurs before neurulation.
C. mesoderm formation and occurs before neurulation.
D. ectomesenchyme formation and occurs after neurulation.
Answer:",False,False
"The spheno-occipital synchondrosis
A. is a secondary growth cartilage.
B. influences the position of the viscerocranium.
C. ceases activity at 7 years of age.
D. can be reactivated in patients affected by acromegaly.
Answer:",True,False
"Which of the following substances is found in greater quantity in exhaled air?
A. Carbon dioxide
B. Carbon monoxide
C. Nitrogen
D. Oxygen
Answer:",False,False
"Which of the following conditions is characterized by the presence of kidney stones (renal calculi)?
A. Glomerulonephritis
B. Interstitial nephritis
C. Nephrolithiasis
D. Polycystic kidney
Answer:",True,True
"A pulse may be felt on a patient's face where the
A. facial artery crosses the mandible.
B. facial artery crosses the maxilla.
C. superficial temporal artery crosses the maxilla.
D. superficial temporal artery crosses the orbital rim.
Answer:",True,True
"A patient sustains severe blunt trauma to the left upper abdomen and requires surgery. Which one of the following organs is most likely to be involved?
A. Appendix
B. Gallbladder
C. Spleen
D. Urinary bladder
Answer:",True,True
"Which statement concerning the atrioventricular bundle is correct?
A. It is formed of autonomic nerve processes and is the only electrical connection between the atria and the ventricles.
B. It is formed of Purkinje fibres and is the only electrical connection between the atria and the ventricles
C. It is formed of autonomic nerve processes and forms one of several electrical connections between the atria and ventricles.
D. It is formed of Purkinje fibres and forms one of several electrical connections between the atria and ventricles.
Answer:",False,True
