prompt,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview
"Which one of the following is the most appropriate definition of a 99% confidence interval?
A. 99% of the time in repeated samples, the interval would contain the true value of the parameter
B. 99% of the time in repeated samples, the interval would contain the estimated value of the parameter
C. 99% of the time in repeated samples, the null hypothesis will be rejected
D. 99% of the time in repeated samples, the null hypothesis will not be rejected when it was false
Answer:",True,True
"What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?
A. ADF is a single equation approach to unit root testing while PP is a systems approach
B. PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test
C. The PP test incorporates an automatic correction for autocorrelated residuals in the test regression
D. PP tests have good power in small samples whereas DF tests do not.
Answer:",True,True
"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage?
A. It would rise more quickly for negative disturbances than for positive ones of the same magnitude
B. It would be symmetrical about zero
C. It would rise less quickly for negative disturbances than for positive ones of the same magnitude
D. It would be zero for all positive disturbances
Answer:",True,True
"Which of the following statements is false concerning the linear probability model?
A. There is nothing in the model to ensure that the estimated probabilities lie between zero and one
B. Even if the probabilities are truncated at zero and one, there will probably be many observations for which the probability is either exactly zero or exactly one
C. The error terms will be heteroscedastic and not normally distributed
D. The model is much harder to estimate than a standard regression model with a continuous dependent variable
Answer:",True,True
"Which of the following statements concerning the regression population and sample is FALSE?
A. The population is the total collection of all items of interest
B. The population can be infinite
C. In theory, the sample could be larger than the population
D. A random sample is one where each individual item from the population is equally likely to be drawn.
Answer:",True,True
"Which of the following statements is INCORRECT concerning a comparison of the Box-Pierce Q and the Ljung-Box Q* statistics for linear dependence in time series?
A. Asymptotically, the values of the two test statistics will be equal
B. The Q test has better small-sample properties than the Q*
C. The Q test is sometimes over-sized for small samples
D. As the sample size tends towards infinity, both tests will show a tendency to always reject the null hypothesis of zero autocorrelation coefficients.
Answer:",True,False
"A parsimonious model is one that
A. Includes too many variables
B. Includes as few variables as possible to explain the data
C. Is a well-specified model
D. Is a mis-specified model
Answer:",False,False
"Which of the following is NOT a feature of continuously compounded returns (i.e. log-returns)?
A. They can be interpreted as continuously compounded changes in the prices
B. They can be added over time to give returns for longer time periods
C. They can be added across a portfolio of assets to give portfolio returns
D. They are usually fat-tailed
Answer:",False,False
"Which of the following features of financial asset return time-series could be captured using a standard GARCH(1,1) model?

i) Fat tails in the return distribution


ii) Leverage effects


iii) Volatility clustering


iv) Volatility affecting returns
A. (ii) and (iv) only
B. (i) and (iii) only
C. (i), (ii), and (iii) only
D. (i), (ii), (iii), and (iv)
Answer:",False,True
"Consider the estimation of a GARCH-M model. If the data employed were a time-series of daily corporate bond percentage returns, which of the following would you expect the value of the GARCH-in-mean parameter estimate to be?
A. Less than -1
B. Between -1 and 0
C. Between 0 and 1
D. Bigger than 1
Answer:",False,False
"Under which of the following situations would bootstrapping be preferred to pure simulation?

i) If it is desired that the distributional properties of the data in the experiment

are the same as those of some actual data


ii) If it is desired that the distributional properties of the data in the experiment

are known exactly


iii) If the distributional properties of the actual data are unknown


iv) If the sample of actual data available is very small
A. (ii) and (iv) only
B. (i) and (iii) only
C. (i), (ii), and (iv) only
D. (i), (ii), (iii), and (iv)
Answer:",False,True
"Which of the following may be consequences of one or more of the CLRM assumptions being violated?

i) The coefficient estimates are not optimal


ii) The standard error estimates are not optimal


iii) The distributions assumed for the test statistics are inappropriate


iv) Conclusions regarding the strength of relationships between the dependent

and independent variables may be invalid.
A. (ii) and (iv) only
B. (i) and (iii) only
C. (i), (ii), and (iii) only
D. (i), (ii), (iii), and (iv)
Answer:",True,True
"Which of the following statements is true concerning forecasting in econometrics?
A. Forecasts can only be made for time-series data
B. Mis-specified models are certain to produce inaccurate forecasts
C. Structural forecasts are simpler to produce than those from time series models
D. In-sample forecasting ability is a poor test of model adequacy
Answer:",True,False
