prompt,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview
"The main factor preventing subsistence economies from advancing economically is the lack of
A. a currency.
B. a well-connected transportation infrastructure.
C. government activity.
D. a banking service.
Answer:",True,True
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called
A. zero population growth.
B. rapid growth rate.
C. homeostatic plateau.
D. demographic momentum.
Answer:",True,True
"The tendency for migration to decrease with distance is called
A. push factors.
B. pull factors.
C. distance decay.
D. migration selectivity.
Answer:",True,True
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form?
A. First
B. Second
C. Third
D. Fourth
Answer:",False,False
"Which of the following statements is TRUE concerning women in the labor force?
A. Most women work in agriculture
B. The percentage of women economically active in the labor force declined worldwide
C. The percentage of women in the total labor force declined
D. Women spend more hours per day working than men in all regions except Anglo America and Australia
Answer:",True,True
"All the following factors can be considered pull factors of migration EXCEPT
A. safety.
B. better climate.
C. better schools.
D. overcrowding.
Answer:",True,True
"Which of the following countries does NOT have a well-known example of a relict boundary?
A. Vietnam
B. United Kingdom
C. Germany
D. Bolivia
Answer:",True,True
"Which form of migration below are farm workers from another country most likely to be practicing during the year?
A. Chain migration
B. Cluster migration
C. Circular migration
D. International migration
Answer:",True,True
"Which of the following is a centrifugal force in a country?
A. Religious differences
B. A national holiday
C. An attack by another country
D. A charismatic national leader
Answer:",True,True
"Early settlements and high population density along coastlines and rivers are best attributed to which of the following?
A. Mediterranean climate
B. Limited forest cover
C. Growth of manufacturing
D. Access to trade routes
Answer:",True,True
"The first stage of the demographic transition exhibits
A. high birth rates with high but fluctuating death rates.
B. declining birth rates with continuing high death rates.
C. low birth rates with continuing high death rates.
D. high birth rates with declining death rates.
Answer:",True,True
"What is the population statistic that tells us the level of fertility at which a population will have just enough births to replace parents and compensate for early deaths?
A. Crude birth rate
B. Replacement level
C. Mortality rate
D. Total fertility rate
Answer:",False,True
"What is the most rapidly growing religion in the United States today?
A. Islam
B. Christianity
C. Hinduism
D. Buddhism
Answer:",True,True
"The outlying area serviced by a urban center is referred to as a
A. redline area.
B. threshold.
C. range.
D. hinterland.
Answer:",True,True
"The best definition of an urban area is
A. the central city and its developed areas.
B. the central city and its surrounding suburbs.
C. the central city and its hinterlands.
D. the central city and the adjacent counties.
Answer:",False,True
"Which of the following religions developed first?
A. Buddhism
B. Christianity
C. Islam
D. Hinduism
Answer:",True,True
"Which one of the following is NOT a characteristic of world cities?
A. World cities contain the headquarters of many transnational corporations.
B. World cities are well connected to secondary-level world cities.
C. World cities contain many offices of multinational organizations.
D. World cities are found only in the northern and western hemispheres.
Answer:",True,True
"Which type of transportation system created the star-shaped city pattern?
A. Highways to airports that link cities
B. Interstate highways that link cities
C. Beltways around cities
D. Streetcar and trolley lines extending from the CBD
Answer:",True,True
"In which urban US setting below would you expect to find planned communities?
A. Ghettos
B. Suburbs
C. CBDs
D. Transition zones
Answer:",True,True
"The latitude and longitude coordinates of a place are an example of
A. a formal region.
B. a functional region.
C. an absolute location.
D. a relative location.
Answer:",True,True
"The voluntary association of three or more countries willing to give up some measure of sovereignty is called
A. nationalism.
B. devolution.
C. supranationalism.
D. complementarity.
Answer:",True,True
"The key factor Thomas Malthus failed to recognize in his population theory was
A. population is limited by their means of subsistence.
B. all populations have the potential to increase more than the actual rate of increase.
C. wars and famine inhibit population's reproductive capacity.
D. technology's ability to raise the Earth's carrying capacity.
Answer:",True,True
"Which pair of religions are both universalizing religions?
A. Islam and Judaism
B. Judaism and Buddhism
C. Hinduism and Buddhism
D. Christianity and Buddhism
Answer:",True,True
"Which urban model theorizes that high-rent residential areas grow outward from the center of the city along major highways with lower-rent inhabitants taking over sequentially?
A. Concentric zone model
B. Central place model
C. Urban realms model
D. Sector model
Answer:",True,True
"When a country combines its religion with its government, it is called a
A. dictatorship.
B. theocracy.
C. democracy.
D. autocracy.
Answer:",True,True
"What is the chief religion practiced in Europe?
A. Christianity
B. Islam
C. Hinduism
D. Animism
Answer:",True,True
"Which group enacted the first effective settlement in the eastern United States?
A. French
B. British (English, Scotch-Irish, Welsh, Scottish)
C. Russian
D. Chinese
Answer:",True,True
"A population pyramid, or age-sex structure, displays all the following information about a country's population EXCEPT
A. future social spending needs of the population.
B. the impact of ""baby booms"" on the population.
C. the impact of wars on the population.
D. a quick visual depiction of the country's demographics.
Answer:",False,False
"The Rhine River is an example of which type of boundary?
A. Geometric
B. Artificial
C. Natural
D. Relict
Answer:",True,True
"Which type of economic activity is most closely tied to the physical environment?
A. Primary
B. Secondary
C. Tertiary
D. Quaternary
Answer:",True,True
"The majority of workers in periphery countries are probably employed in which type of activities?
A. Primary
B. Secondary
C. Tertiary
D. Quaternary
Answer:",True,True
"All of the following are non-basic jobs in the city EXCEPT
A. city firefighter.
B. social worker.
C. dry cleaner.
D. garment factory worker.
Answer:",False,True
"Transnational corporations distribute their operations
A. manufacturing goods where production costs are the highest.
B. conducting accounting and research services where economical.
C. based on comparative advantage.
D. with headquarters located in LDCs.
Answer:",False,True
"Which of the following is LEAST associated with the development of alluvial landscapes?
A. A deep cover of loose materials
B. A predominance of gentle slopes
C. Frequent flooding
D. Deep dissection and erosion
Answer:",True,True
"Which of the following is LEAST self-sufficient in the natural resources needed for modern industry?
A. United States
B. Japan
C. France
D. United Kingdom
Answer:",True,True
"One of the effects of the east–west orientation of the Alpine mountain system and the northern plains of western and central Europe is that it
A. limits the marine climate of Europe to coastal areas
B. provides a corridor for communication between southern and northern Europe
C. enables marine-like climatic conditions to extend eastward into Germany and Poland
D. effectively prevents population movement between parts of the Mediterranean region
Answer:",True,True
"The largest Hindu temple complex ever constructed is found in
A. Calcutta.
B. Bombay.
C. Cambodia.
D. Bali.
Answer:",True,True
"Which term describes the forces that unify and strengthen a country?
A. Diffusion
B. Centrifugal
C. Centripetal
D. Ethnocentric
Answer:",True,True
"Which one of the following statements best describes an application of the S-curve?
A. Graph of the Bantu migration
B. Graph of the growth of human populations since their first appearance on Earth
C. The chart showing how cities associate with one another based on their population sizes
D. A model showing the decrease in population growth for several countries after they industrialize
Answer:",True,False
"Which of the following items is NOT a challenge to the state?
A. Transnational corporations
B. EU
C. World Trade Organization
D. Good transportation network
Answer:",True,True
"National sports teams, flags, national anthems, and national holidays all promote
A. nationalism.
B. sectarianism.
C. political unrest.
D. functional disputes.
Answer:",True,True
