prompt,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview
"Statement 1| Linear regression estimator has the smallest variance among all unbiased estimators. Statement 2| The coefficients α assigned to the classifiers assembled by AdaBoost are always non-negative.
A. True, True
B. False, False
C. True, False
D. False, True
Answer:",False,True
"Statement 1| RoBERTa pretrains on a corpus that is approximate 10x larger than the corpus BERT pretrained on. Statement 2| ResNeXts in 2018 usually used tanh activation functions.
A. True, True
B. False, False
C. True, False
D. False, True
Answer:",True,True
"Statement 1| Support vector machines, like logistic regression models, give a probability distribution over the possible labels given an input example. Statement 2| We would expect the support vectors to remain the same in general as we move from a linear kernel to higher order polynomial kernels.
A. True, True
B. False, False
C. True, False
D. False, True
Answer:",False,True
"A machine learning problem involves four attributes plus a class. The attributes have 3, 2, 2, and 2 possible values each. The class has 3 possible values. How many maximum possible different examples are there?
A. 12
B. 24
C. 48
D. 72
Answer:",True,True
"As of 2020, which architecture is best for classifying high-resolution images?
A. convolutional networks
B. graph networks
C. fully connected networks
D. RBF networks
Answer:",True,True
"Statement 1| The log-likelihood of the data will always increase through successive iterations of the expectation maximation algorithm. Statement 2| One disadvantage of Q-learning is that it can only be used when the learner has prior knowledge of how its actions affect its environment.
A. True, True
B. False, False
C. True, False
D. False, True
Answer:",True,False
"Let us say that we have computed the gradient of our cost function and stored it in a vector g. What is the cost of one gradient descent update given the gradient?
A. O(D)
B. O(N)
C. O(ND)
D. O(ND^2)
Answer:",True,True
"Statement 1| For a continuous random variable x and its probability distribution function p(x), it holds that 0 ≤ p(x) ≤ 1 for all x. Statement 2| Decision tree is learned by minimizing information gain.
A. True, True
B. False, False
C. True, False
D. False, True
Answer:",False,False
"Consider the Bayesian network given below. How many independent parameters are needed for this Bayesian Network H -> U <- P <- W?
A. 2
B. 4
C. 8
D. 16
Answer:",False,True
"As the number of training examples goes to infinity, your model trained on that data will have:
A. Lower variance
B. Higher variance
C. Same variance
D. None of the above
Answer:",True,True
"Statement 1| The set of all rectangles in the 2D plane (which includes non axisaligned rectangles) can shatter a set of 5 points. Statement 2| The VC-dimension of k-Nearest Neighbour classifier when k = 1 is infinite.
A. True, True
B. False, False
C. True, False
D. False, True
Answer:",False,True
"_ refers to a model that can neither model the training data nor generalize to new data.
A. good fitting
B. overfitting
C. underfitting
D. all of the above
Answer:",True,True
"Statement 1| The F1 score can be especially useful for datasets with class high imbalance. Statement 2| The area under the ROC curve is one of the main metrics used to assess anomaly detectors.
A. True, True
B. False, False
C. True, False
D. False, True
Answer:",True,True
