prompt,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview
"An important source of information on the credit rating of retail businesses is
A. the Retail Merchants Association
B. the local chamber of commerce
C. Dun & Bradstreet, Inc.
D. the United States Retail Credit Association
Answer:",True,True
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?
A. Conferencing
B. Discipline-based inquiry
C. Self-Regulated Strategy Development
D. Introduction-Body-Conclusion strategy
Answer:",True,True
"Paper will burn at approximately what temperature in Fahrenheit?
A. 986 degrees
B. 2125 degrees
C. 3985 degrees
D. 451 degrees
Answer:",True,True
"The Apple iMac computer is available in all of the following colors except which?
A. Tangerine
B. Strawberry
C. Kiwi
D. Grape
Answer:",False,True
"What were the first names of the early American explorers Lewisand Clark?
A. Morgan and Mason
B. Meriwether and William
C. Cabot and Joseph
D. Meredith and George
Answer:",True,True
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?
A. Direct instruction
B. Literature circle
C. Guided reading
D. Read-aloud
Answer:",True,True
"What is varicella?
A. a fancy pasta
B. a type of opera
C. the chicken pox virus
D. ancient Roman poetry
Answer:",True,True
"Which of the following materials has a resistance that is LEAST affected by temperature changes?
A. Copper
B. Carbon
C. Germanium
D. Silicon
Answer:",False,False
"A second-year college student is usually called a what?
A. sophomore
B. senior
C. freshman
D. junior
Answer:",True,True
"In the film 'The Talented Mr Ripley' who plays Mr Ripley?
A. Jude Law
B. Matt Damon
C. Dustin Hoffman
D. Ben Affleck
Answer:",True,True
"A hard-edge painting is most likely to be characterized by
A. an even, solid paint application
B. blurry color mixed on the painting's surface
C. scratchy brush marks clearly separated
D. translucent multiple layers of paint
Answer:",True,True
"Who was president of the United States when Bill Clinton was born?
A. Herbert Hoover
B. Harry S Truman
C. Franklin Roosevelt
D. Dwight Eisenhower
Answer:",False,False
"Which of the following lists includes minerals only?
A. Granite, gabbro, diorite, quartz, feldspar
B. Gold, quartz, topaz, diamond, corundum
C. Gneiss, schist, phyllite, chlorite, mica
D. Coal, chert, limestone, dolomite, halite
Answer:",True,True
"Which of the following is a likely outcome of the development and use of genetically modified plants?
A. Reduced cost of plant seeds
B. New plant varieties being patented
C. Increased genetic diversity within a planted field
D. Less oversight and fewer regulations than for unmodified crops
Answer:",True,True
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?
A. Plot sequence
B. Point of view
C. Character development
D. Setting
Answer:",True,True
"Which movie popularized the phrase ""You talkin' to me?""
A. Ghost Busters
B. Taxi Driver
C. Joker
D. Groundhog Day
Answer:",True,True
"Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?
A. A grayish, milky fluid
B. Excessive fluid use
C. Excessive thinning of the fluid
D. A noisy relief valve
Answer:",True,True
"What animal represents the year 2000 on the Chinese calendar?
A. dragon
B. rabbit
C. tiger
D. monkey
Answer:",True,True
"Which of the following is part of a farm combine?
A. Beater
B. Conditioner
C. Seed plate
D. Furrow opener
Answer:",True,True
"According to legend in what country are you most likely to meet a leprechaun?
A. Ireland
B. Poland
C. Greenland
D. Scotland
Answer:",True,True
"During which of the following processes within the hydrologic cycle do water molecules absorb energy?
A. Formation of ice from water
B. Formation of a cloud from water vapor
C. Runoff along the land surface
D. Evaporation from the ocean surface
Answer:",True,True
"What French city is home to a famous international film festival each spring?
A. Cannes
B. Marseille
C. Dijon
D. Lyon
Answer:",True,True
"What do you call three consecutive strikes in bowling?
A. yahtzee
B. mulligan
C. turkey
D. ace
Answer:",True,True
"Which of the boys on the TV show 'My Three Sons' is adopted?
A. Mike
B. Ernie
C. Chip
D. Robbie
Answer:",False,True
"Which of these horror films spawned the most sequels?
A. Scream'
B. Jaws'
C. Halloween'
D. Friday the 13th'
Answer:",False,True
"What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?
A. Miss Jackie
B. Elizabeth Sanford
C. Geraldine Jones
D. Gladys Knight
Answer:",True,True
"What kind of animal is a peregrine?
A. moose
B. cat
C. bird
D. fish
Answer:",True,True
"What part of the human body does a gastroenterologist examine?
A. Brain
B. Skeleton
C. Stomach
D. Nose
Answer:",True,True
"A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?
A. Blue
B. Green
C. Red
D. Black
Answer:",True,True
"Meat should be kept frozen at what temperature in degrees Fahrenheit?
A. 0 degrees or below
B. between 10 and 20 degrees
C. between 20 and 30 degrees
D. just below 32 degrees
Answer:",True,True
"What kind of animal is cartoon character Tennessee Tuxedo?
A. cat
B. skunk
C. walrus
D. penguin
Answer:",True,True
"What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?
A. Calvin Coolidge
B. Harry Truman
C. Herbert Hoover
D. Richard Nixon
Answer:",False,True
"What is the heaviest confirmed noble gas?
A. Xenon
B. Argon
C. Radon
D. Krypton
Answer:",False,True
"How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?
A. 1 mol
B. 2 mol
C. 3 mol
D. 6 mol
Answer:",True,True
