prompt,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview
"How many human polyomaviruses are known at present?
A. 100
B. 1
C. 10
D. unknown
Answer:",False,False
"AIDS activism in the U.S. resulted in:
A. Food and Drug Administration reforms
B. Easier access to investigational drugs
C. Changes in the way medicine was practiced in the U.S.
D. All of the above
Answer:",True,True
"Globally, the most deaths are caused by:
A. Respiratory infections
B. Diarrheal diseases
C. Malaria
D. Tuberculosis
Answer:",False,False
"What happens during the 'incubation period'?
A. The virus is cleared from the body by the immune system
B. Virus replication happens at an intracellular level
C. This period commonly lasts for a few days
D. This period commonly lasts for a few hours
Answer:",True,True
"Newborn infants in countries with limited access to safe water and low levels of education should be:
A. Exclusively formula fed for six months
B. Exclusively breast fed for six months
C. Should receive both breast milk and other foods as tolerated in the first 6
D. months
Answer:",True,True
"Achieving effective change in a community is usually dependent on which of the following segments of society?
A. Innovators
B. Early adapters
C. Middle adapters
D. Late adapters
Answer:",False,True
"“Contingency management” is”:
A. A strategy of last resort for reducing high-risk behaviors
B. Paying drug users for negative urine specimens
C. Paying sex workers to use condoms
D. Paying drug users to use condoms
Answer:",True,True
"Typical clinical symptoms following infection with astroviruses include which of the following?
A. Acute pneumonia
B. Gastroenteritis in children
C. Hepatitis
D. rashes
Answer:",True,True
"Which of the following is the most special characteristic of the adaptive immune system?
A. Antibodies
B. T cells
C. Memory T cells
D. Clonal expansion of pre-existing antibodies and/or T cells
Answer:",True,False
"Chemotherapy is now an option for clinical care of patients. Typical drug regimens now include which of the following?
A. Interferon and ribavirin
B. Lamivudine and ribavirin
C. Combinations of adefovir and entecavir and/or tenofovir (DAA)
D. Interferons alone
Answer:",False,False
"There were no new cases of Ebola virus in the United States from January 1, 1997 through January 1, 1998. Which of the following epidemiologic terms does this statement describe?
A. Incidence
B. Lifetime expectancy
C. Lifetime prevalence
D. Period prevalence
Answer:",False,False
"How were retroviruses discovered?
A. In chickens as Rous sarcoma
B. In humans as HTLV-1
C. In mice causing leukaemia
D. In cats causing leukaemia
Answer:",False,False
"Most surveillance systems use which of the following study designs?
A. Cohort
B. Serial cross-sectional
C. Mortality
D. Syndromic
Answer:",False,True
"Polio can be eradicated by which of the following?
A. Attention to sewage control and hygiene
B. Killed polio vaccine
C. Live polio vaccine
D. Combination of the killed and live vaccines.
Answer:",False,False
"Public health ethics is:
A. Patient-centered
B. Population-centered
C. Subject-centered
D. Must respect the rights of individuals
Answer:",True,True
"How many people globally are currently infected with hepatitis B?
A. 350 million
B. 2 billion
C. 100,000
D. 1 million
Answer:",True,False
"In a study, a group of people are exposed to an environmental toxin but are not treated observed over time on a standard set of measures to ascertain the potential effects of the toxin. This type of study design is called
A. Clinical trial
B. Double-blind
C. Longitudinal
D. Prospective cohort
Answer:",True,True
"Which disease do polyomaviruses predominantly cause?
A. Tumours
B. Brain pathology
C. No disease at all
D. Kidney infections
Answer:",False,False
"How are antibody producing cells stimulated?
A. Interacting with a virus short peptide
B. Interacting with a T helper cell.
C. Interacting with a plasma cell
D. Interacting with a virus infected cell
Answer:",True,True
"The single most important key to the success of the Multicenter AIDS Cohort (MACS) is:
A. The brilliance of the principal investigator
B. The commitment of the staff
C. The commitment of the participants
D. The quality of the laboratories
Answer:",True,True
"Picornavirus replication as a positive strand RNA virus is particularly typified by which of the following?
A. Virions carry RNA transcriptase enzyme into the cell
B. The virion RNA is translated into a single large polyprotein
C. The virion RNA acting as mRNA
D. The virus exits by apoptosis of the cell
Answer:",False,False
"Why are members of the astrovirus family only recently recognised as significant enteric viruses for humans?
A. The genome has been identified by the new method of deep sequencing
B. A new vector has been discovered
C. They infect a wide range of domestic animals and so contaminate meat
D. Knowledge of their replication as positive sense ssRNA viruses is now complete
Answer:",True,True
"Which virus infection was not first identified by clinical observation?
A. HIV
B. Rubella teratogenicity
C. Microcephaly and Zika
D. Hepatitis C
Answer:",True,True
"The particular quality of the U.S. health care system is its:
A. Systematic, democratic approach
B. Fragmented, uncoordinated approach
C. The result of rationale decisions by informed legislators
D. a. and c. above
Answer:",True,True
"The three key intervention strategies according to Professor Shoptaw are:
A. Behavioral intervention, treatment and structural interventions
B. Condoms, drug therapy and regulation of commercial sex establishments
C. Drug replacement therapy, community intervention and needle exchange
D. HIV testing, drug therapy and condom use
Answer:",False,True
"Measles has been controlled in many countries by which of the following?
A. By hygiene
B. By MMR vaccine
C. By new molecular peptide vaccines
D. By humanised monoclonal antibodies to F protein
Answer:",True,True
"How can the spread of filoviruses be restricted?
A. New antivirals
B. New humanised monoclonal antibodies
C. Hygiene and social distancing
D. New vaccines
Answer:",True,True
